   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dissertation/dcssat-er.xml
name:                    dcssat-er
run sets:                default
date:                    Fri, 2021-04-09 23:47:31 CST
tool:                    DC-SSAT
tool executable:         bin/dcssat
options:                 
parallel runs:           15
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-PowerEdge-T440
os:                      Linux-5.4.0-58-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon Silver 4210 CPU @ 2.20GHz
- cores:                 40
- max frequency:         3200.0 MHz
- turbo boost enabled:   False
ram:                     134616.424448 MB
------------------------------------------------------------



default
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                              status                       cpu time   wall time        host
er-random-k-CNF/rand-3-40-160-20.71.sdimacs            done                             0.01        0.02        None
er-random-k-CNF/rand-3-40-160-20.72.sdimacs            done                             0.01        0.04        None
er-random-k-CNF/rand-3-40-160-20.73.sdimacs            done                             0.01        0.03        None
er-random-k-CNF/rand-3-40-160-20.74.sdimacs            done                             0.02        0.02        None
er-random-k-CNF/rand-3-40-160-20.75.sdimacs            done                             0.01        0.02        None
er-random-k-CNF/rand-3-40-200-20.76.sdimacs            done                             0.01        0.02        None
er-random-k-CNF/rand-3-40-200-20.77.sdimacs            done                             0.01        0.02        None
er-random-k-CNF/rand-3-40-200-20.78.sdimacs            done                             0.01        0.02        None
er-random-k-CNF/rand-3-40-200-20.79.sdimacs            done                             0.01        0.01        None
er-random-k-CNF/rand-3-40-200-20.80.sdimacs            done                             0.01        0.01        None
er-random-k-CNF/rand-3-40-80-20.61.sdimacs             done                             0.04        0.05        None
er-random-k-CNF/rand-3-40-80-20.62.sdimacs             done                             0.03        0.04        None
er-random-k-CNF/rand-3-40-80-20.63.sdimacs             done                             0.01        0.03        None
er-random-k-CNF/rand-3-40-80-20.64.sdimacs             done                             0.04        0.04        None
er-random-k-CNF/rand-3-40-80-20.65.sdimacs             done                             0.04        0.04        None
er-random-k-CNF/rand-3-50-100-25.81.sdimacs            done                             0.48        0.49        None
er-random-k-CNF/rand-3-50-100-25.82.sdimacs            done                             0.41        0.41        None
er-random-k-CNF/rand-3-50-100-25.83.sdimacs            done                             0.42        0.44        None
er-random-k-CNF/rand-3-50-100-25.84.sdimacs            done                             0.17        0.18        None
