tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	bare-BDD.ExistRandomExist	bare-BDD.ExistRandomExist	bare-BDD.ExistRandomExist	bare-BDD.ExistRandomExist	bare-Cachet.ExistRandomExist	bare-Cachet.ExistRandomExist	bare-Cachet.ExistRandomExist	bare-Cachet.ExistRandomExist
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-conformant/cube_c11_par--opt-14_.sdimacs	TIMEOUT (ABORTED)	901.015632688	901.2138498979621	246.042624	TIMEOUT (ERROR (1))	900.958057339	901.0037305136211	70.176768
ere-conformant/cube_c5_ser---14_.sdimacs	TIMEOUT (ERROR (1))	900.997863198	901.020965004107	141.443072	done	777.529837364	778.63422355894	59.641856
ere-conformant/ring_r6_ser---16_.sdimacs	SEGMENTATION FAULT	0.780063563	0.9678034170065075	134.004736	TIMEOUT (ERROR (1))	900.97449726	901.0036313310266	97.304576
ere-conformant/ring_r6_ser--opt-17_.sdimacs	SEGMENTATION FAULT	0.762292586	0.9671839228831232	134.586368	TIMEOUT (ERROR (1))	900.984171452	901.0044573699124	95.715328
ere-conformant/ring_r7_ser---19_.sdimacs	SEGMENTATION FAULT	1.449822848	1.6376359849236906	360.144896	TIMEOUT (ERROR (1))	900.997501052	901.005792693235	251.895808
ere-conformant/ring_r7_ser--opt-20_.sdimacs	SEGMENTATION FAULT	1.62423381	1.8093630061484873	361.848832	TIMEOUT (ERROR (1))	901.000029602	901.006597795058	255.455232
ere-MaxCount/MaxSAT-keller4.clq.wcnf.sdimacs	TIMEOUT (ABORTED)	901.001096362	901.1950806030072	50.491392	TIMEOUT (ERROR (1))	900.606877988	901.0043243831024	54.214656
ere-MaxCount/QIF-CVE-2009-3002.sdimacs	TIMEOUT (ERROR (1))	901.636682607	901.6621431419626	3511.844864	TIMEOUT	1001.255996556	1001.2799962959252	5769.695232
ere-MaxCount/QIF-backdoor-2x16-8.sdimacs	TIMEOUT (ERROR (1))	900.999193204	901.0194310678635	175.841280	done	478.700428529	480.2025412861258	48.857088
ere-MaxCount/QIF-reverse.sdimacs	TIMEOUT (ERROR (1))	900.995221039	901.0070038021076	53.112832	done	1.144203791	1.1496754088439047	46.362624
ere-MaxCount/QIF-reverse2.sdimacs	TIMEOUT (ERROR (1))	900.996970678	901.0071163910907	63.336448	done	1.144906114	1.152280509006232	46.350336
ere-MaxCount/SyGuS-ConcreteActivityService.sdimacs	TIMEOUT (ABORTED)	900.930273547	901.2116431661416	312.614912	TIMEOUT (ERROR (1))	900.864081218	901.0055033317767	56.737792
ere-MaxCount/SyGuS-GuidanceService.sdimacs	TIMEOUT (ERROR (1))	900.9364783	901.0243766671047	285.765632	done	2.353057428	2.3555363821797073	52.199424
ere-MaxCount/SyGuS-GuidanceService2.sdimacs	TIMEOUT (ERROR (1))	901.015593052	901.0256588179618	285.761536	done	2.353699936	2.3560527148656547	52.240384
ere-MaxCount/SyGuS-IssueServiceImpl.sdimacs	TIMEOUT (ABORTED)	901.001392554	901.2032703880686	240.521216	TIMEOUT (ERROR (1))	901.005259845	902.2324203331955	56.238080
ere-MaxCount/SyGuS-LoginService.sdimacs	TIMEOUT (ABORTED)	901.017976822	901.271452964982	250.949632	TIMEOUT (ERROR (1))	900.976078655	901.0035820668563	60.506112
ere-MaxCount/SyGuS-PhaseService.sdimacs	TIMEOUT (ABORTED)	901.005861741	901.3096513799392	205.279232	TIMEOUT (ERROR (1))	900.961381643	901.0042200908065	57.438208
ere-MaxCount/SyGuS-ProjectService3.sdimacs	TIMEOUT (ABORTED)	901.029915595	901.2287074620835	534.503424	TIMEOUT (ERROR (1))	901.006297252	901.0036537568085	312.655872
ere-MaxCount/SyGuS-sign_correct.sdimacs	TIMEOUT (ABORTED)	901.001918497	901.2776603379752	86.126592	done	0.649830234	0.6525835562497377	46.370816
ere-MPEC/c1355-er.sdimacs	TIMEOUT (ERROR (1))	901.152272095	901.1721750008874	1529.479168	done	0.089855901	0.09229455888271332	46.456832
ere-MPEC/c3540-er.sdimacs	TIMEOUT (ERROR (1))	901.109428043	901.1324027888477	1013.755904	done	0.074168805	0.07605756632983685	45.936640
ere-MPEC/c5315-er.sdimacs	TIMEOUT (ERROR (1))	900.998803984	901.0309480221476	259.010560	done	0.078357247	0.0797923868522048	46.456832
