   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/ressat-thesis.xml
name:                    ressat-thesis
run sets:                minimize-Cachet, bare-Cachet
date:                    Tue, 2021-04-06 18:22:30 CST
tool:                    ABC
tool executable:         bin/abc
options:                 
parallel runs:           15
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-PowerEdge-T440
os:                      Linux-5.4.0-58-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon Silver 4210 CPU @ 2.20GHz
- cores:                 40
- max frequency:         3200.0 MHz
- turbo boost enabled:   False
ram:                     134616.424448 MB
------------------------------------------------------------



minimize-Cachet
Run set 1 of 2 with options '-c ssat -bvt' and propertyfile 'None'

inputfile                                 status                       cpu time   wall time        host
-------------------------------------------------------------------------------------------------------
re-random/rand-3-10-20-5.100.sdimacs      done                             0.07        0.07        None
re-random/rand-3-10-20-5.101.sdimacs      done                             0.07        0.08        None
re-random/rand-3-10-20-5.102.sdimacs      done                             0.07        0.07        None
re-random/rand-3-10-20-5.103.sdimacs      done                             0.07        0.07        None
re-random/rand-3-10-20-5.104.sdimacs      done                             0.07        0.08        None
re-random/rand-3-10-30-5.105.sdimacs      done                             0.07        0.07        None
re-random/rand-3-10-30-5.106.sdimacs      done                             0.07        0.07        None
re-random/rand-3-10-30-5.107.sdimacs      done                             0.07        0.07        None
re-random/rand-3-10-30-5.108.sdimacs      done                             0.07        0.08        None
re-random/rand-3-10-30-5.109.sdimacs      done                             0.07        0.10        None
re-random/rand-3-10-40-5.110.sdimacs      done                             0.08        0.08        None
re-random/rand-3-10-40-5.111.sdimacs      done                             0.04        0.04        None
re-random/rand-3-10-40-5.112.sdimacs      done                             0.08        0.08        None
re-random/rand-3-10-40-5.113.sdimacs      done                             0.04        0.04        None
re-random/rand-3-10-40-5.114.sdimacs      done                             0.08        0.08        None
re-random/rand-3-10-50-5.115.sdimacs      done                             0.07        0.08        None
re-random/rand-3-10-50-5.116.sdimacs      done                             0.04        0.04        None
re-random/rand-3-10-50-5.117.sdimacs      done                             0.07        0.08        None
re-random/rand-3-10-50-5.118.sdimacs      done                             0.07        0.08        None
re-random/rand-3-10-50-5.119.sdimacs      done                             0.08        0.08        None
re-random/rand-3-20-100-10.135.sdimacs    done                             0.07        0.07        None
re-random/rand-3-20-100-10.136.sdimacs    done                             0.04        0.04        None
re-random/rand-3-20-100-10.137.sdimacs    done                             0.04        0.04        None
re-random/rand-3-20-100-10.138.sdimacs    done                             0.07        0.08        None
re-random/rand-3-20-100-10.139.sdimacs    done                             0.03        0.04        None
re-random/rand-3-20-40-10.120.sdimacs     done                             0.07        0.07        None
re-random/rand-3-20-40-10.121.sdimacs     done                             0.08        0.08        None
re-random/rand-3-20-40-10.122.sdimacs     done                             0.07        0.08        None
re-random/rand-3-20-40-10.123.sdimacs     done                             0.07        0.08        None
re-random/rand-3-20-40-10.124.sdimacs     done                             0.07        0.08        None
re-random/rand-3-20-60-10.125.sdimacs     done                             0.08        0.08        None
re-random/rand-3-20-60-10.126.sdimacs     done                             0.08        0.08        None
re-random/rand-3-20-60-10.127.sdimacs     done                             0.07        0.07        None
re-random/rand-3-20-60-10.128.sdimacs     done                             0.07        0.08        None
re-random/rand-3-20-60-10.129.sdimacs     done                             0.07        0.08        None
re-random/rand-3-20-80-10.130.sdimacs     done                             0.07        0.07        None
re-random/rand-3-20-80-10.131.sdimacs     done                             0.04        0.04        None
re-random/rand-3-20-80-10.132.sdimacs     done                             0.08        0.08        None
re-random/rand-3-20-80-10.133.sdimacs     done                             0.07        0.08        None
re-random/rand-3-20-80-10.134.sdimacs     done                             0.07        0.08        None
re-random/rand-3-30-120-15.150.sdimacs    done                             0.04        0.04        None
re-random/rand-3-30-120-15.151.sdimacs    done                             0.04        0.04        None
re-random/rand-3-30-120-15.152.sdimacs    done                             0.07        0.09        None
re-random/rand-3-30-120-15.153.sdimacs    done                             0.08        0.08        None
re-random/rand-3-30-120-15.154.sdimacs    done                             0.07        0.08        None
re-random/rand-3-30-150-15.155.sdimacs    done                             0.04        0.04        None
re-random/rand-3-30-150-15.156.sdimacs    done                             0.04        0.04        None
re-random/rand-3-30-150-15.157.sdimacs    done                             0.04        0.04        None
re-random/rand-3-30-150-15.158.sdimacs    done                             0.04        0.04        None
re-random/rand-3-30-150-15.159.sdimacs    done                             0.04        0.04        None
re-random/rand-3-30-60-15.140.sdimacs     done                             0.09        0.09        None
re-random/rand-3-30-60-15.141.sdimacs     done                             0.08        0.08        None
re-random/rand-3-30-60-15.142.sdimacs     done                             0.08        0.08        None
re-random/rand-3-30-60-15.143.sdimacs     done                             0.08        0.09        None
re-random/rand-3-30-60-15.144.sdimacs     done                             0.08        0.08        None
re-random/rand-3-30-90-15.145.sdimacs     done                             0.08        0.08        None
re-random/rand-3-30-90-15.146.sdimacs     done                             0.07        0.08        None
re-random/rand-3-30-90-15.147.sdimacs     done                             0.08        0.08        None
re-random/rand-3-30-90-15.148.sdimacs     done                             0.08        0.08        None
re-random/rand-3-30-90-15.149.sdimacs     done                             0.08        0.09        None
re-random/rand-3-40-120-20.165.sdimacs    done                             0.09        0.10        None
re-random/rand-3-40-120-20.166.sdimacs    done                             0.12        0.13        None
re-random/rand-3-40-120-20.167.sdimacs    done                             0.10        0.11        None
re-random/rand-3-40-120-20.168.sdimacs    done                             0.09        0.10        None
re-random/rand-3-40-120-20.169.sdimacs    done                             0.11        0.12        None
re-random/rand-3-40-160-20.170.sdimacs    done                             0.08        0.09        None
re-random/rand-3-40-160-20.171.sdimacs    done                             0.08        0.09        None
re-random/rand-3-40-160-20.172.sdimacs    done                             0.08        0.08        None
re-random/rand-3-40-160-20.173.sdimacs    done                             0.07        0.08        None
re-random/rand-3-40-160-20.174.sdimacs    done                             0.07        0.07        None
re-random/rand-3-40-200-20.175.sdimacs    done                             0.04        0.04        None
re-random/rand-3-40-200-20.176.sdimacs    done                             0.04        0.04        None
re-random/rand-3-40-200-20.177.sdimacs    done                             0.04        0.04        None
re-random/rand-3-40-200-20.178.sdimacs    done                             0.04        0.04        None
re-random/rand-3-40-200-20.179.sdimacs    done                             0.04        0.04        None
re-random/rand-3-40-80-20.160.sdimacs     done                             0.12        0.13        None
re-random/rand-3-40-80-20.161.sdimacs     done                             0.12        0.12        None
re-random/rand-3-40-80-20.162.sdimacs     done                             0.13        0.13        None
re-random/rand-3-40-80-20.163.sdimacs     done                             0.12        0.12        None
re-random/rand-3-40-80-20.164.sdimacs     done                             0.14        0.15        None
re-random/rand-3-50-100-25.180.sdimacs    done                             0.96        0.97        None
re-random/rand-3-50-100-25.181.sdimacs    done                             0.32        0.33        None
re-random/rand-3-50-100-25.182.sdimacs    done                             0.80        0.80        None
re-random/rand-3-50-100-25.183.sdimacs    done                             0.69        0.69        None
re-random/rand-3-50-100-25.184.sdimacs    done                             0.48        0.49        None
re-random/rand-3-50-150-25.185.sdimacs    done                             0.19        0.19        None
re-random/rand-3-50-150-25.186.sdimacs    done                             0.15        0.16        None
re-random/rand-3-50-150-25.187.sdimacs    done                             0.15        0.16        None
re-random/rand-3-50-150-25.188.sdimacs    done                             0.20        0.21        None
re-random/rand-3-50-150-25.189.sdimacs    done                             0.14        0.15        None
re-random/rand-3-50-200-25.190.sdimacs    done                             0.08        0.08        None
re-random/rand-3-50-200-25.191.sdimacs    done                             0.08        0.08        None
re-random/rand-3-50-200-25.192.sdimacs    done                             0.08        0.08        None
re-random/rand-3-50-200-25.193.sdimacs    done                             0.08        0.08        None
re-random/rand-3-50-200-25.194.sdimacs    done                             0.04        0.04        None
re-random/rand-3-50-250-25.195.sdimacs    done                             0.04        0.05        None
re-random/rand-3-50-250-25.196.sdimacs    done                             0.04        0.04        None
re-random/rand-3-50-250-25.197.sdimacs    done                             0.04        0.04        None
re-random/rand-3-50-250-25.198.sdimacs    done                             0.04        0.04        None
re-random/rand-3-50-250-25.199.sdimacs    done                             0.04        0.04        None
re-random/rand-4-10-30-5.100.sdimacs      done                             0.07        0.08        None
re-random/rand-4-10-30-5.101.sdimacs      done                             0.07        0.08        None
re-random/rand-4-10-30-5.102.sdimacs      done                             0.07        0.08        None
re-random/rand-4-10-30-5.103.sdimacs      done                             0.08        0.08        None
re-random/rand-4-10-30-5.104.sdimacs      done                             0.08        0.09        None
re-random/rand-4-10-40-5.105.sdimacs      done                             0.07        0.08        None
re-random/rand-4-10-40-5.106.sdimacs      done                             0.08        0.08        None
re-random/rand-4-10-40-5.107.sdimacs      done                             0.07        0.08        None
re-random/rand-4-10-40-5.108.sdimacs      done                             0.07        0.07        None
re-random/rand-4-10-40-5.109.sdimacs      done                             0.08        0.08        None
re-random/rand-4-10-50-5.110.sdimacs      done                             0.07        0.07        None
re-random/rand-4-10-50-5.111.sdimacs      done                             0.07        0.07        None
re-random/rand-4-10-50-5.112.sdimacs      done                             0.07        0.09        None
re-random/rand-4-10-50-5.113.sdimacs      done                             0.07        0.08        None
re-random/rand-4-10-50-5.114.sdimacs      done                             0.07        0.07        None
re-random/rand-4-10-60-5.115.sdimacs      done                             0.08        0.08        None
re-random/rand-4-10-60-5.116.sdimacs      done                             0.07        0.08        None
re-random/rand-4-10-60-5.117.sdimacs      done                             0.07        0.08        None
re-random/rand-4-10-60-5.118.sdimacs      done                             0.07        0.08        None
re-random/rand-4-10-60-5.119.sdimacs      done                             0.07        0.08        None
re-random/rand-4-20-100-10.130.sdimacs    done                             0.08        0.08        None
re-random/rand-4-20-100-10.131.sdimacs    done                             0.08        0.09        None
re-random/rand-4-20-100-10.132.sdimacs    done                             0.08        0.09        None
re-random/rand-4-20-100-10.133.sdimacs    done                             0.09        0.09        None
re-random/rand-4-20-100-10.134.sdimacs    done                             0.08        0.09        None
re-random/rand-4-20-120-10.135.sdimacs    done                             0.08        0.08        None
re-random/rand-4-20-120-10.136.sdimacs    done                             0.08        0.08        None
re-random/rand-4-20-120-10.137.sdimacs    done                             0.08        0.09        None
re-random/rand-4-20-120-10.138.sdimacs    done                             0.08        0.09        None
re-random/rand-4-20-120-10.139.sdimacs    done                             0.08        0.09        None
re-random/rand-4-20-60-10.120.sdimacs     done                             0.07        0.08        None
re-random/rand-4-20-60-10.121.sdimacs     done                             0.08        0.08        None
re-random/rand-4-20-60-10.122.sdimacs     done                             0.09        0.09        None
re-random/rand-4-20-60-10.123.sdimacs     done                             0.08        0.08        None
re-random/rand-4-20-60-10.124.sdimacs     done                             0.08        0.08        None
re-random/rand-4-20-80-10.125.sdimacs     done                             0.08        0.08        None
re-random/rand-4-20-80-10.126.sdimacs     done                             0.08        0.08        None
re-random/rand-4-20-80-10.127.sdimacs     done                             0.08        0.08        None
re-random/rand-4-20-80-10.128.sdimacs     done                             0.08        0.09        None
re-random/rand-4-20-80-10.129.sdimacs     done                             0.08        0.09        None
re-random/rand-4-30-120-15.145.sdimacs    done                             0.21        0.21        None
re-random/rand-4-30-120-15.146.sdimacs    done                             0.24        0.24        None
re-random/rand-4-30-120-15.147.sdimacs    done                             0.20        0.21        None
re-random/rand-4-30-120-15.148.sdimacs    done                             0.18        0.19        None
re-random/rand-4-30-120-15.149.sdimacs    done                             0.25        0.25        None
re-random/rand-4-30-150-15.150.sdimacs    done                             0.16        0.16        None
re-random/rand-4-30-150-15.151.sdimacs    done                             0.17        0.18        None
re-random/rand-4-30-150-15.152.sdimacs    done                             0.22        0.22        None
re-random/rand-4-30-150-15.153.sdimacs    done                             0.21        0.21        None
re-random/rand-4-30-150-15.154.sdimacs    done                             0.27        0.28        None
re-random/rand-4-30-180-15.155.sdimacs    done                             0.16        0.16        None
re-random/rand-4-30-180-15.156.sdimacs    done                             0.18        0.19        None
re-random/rand-4-30-180-15.157.sdimacs    done                             0.20        0.20        None
re-random/rand-4-30-180-15.158.sdimacs    done                             0.18        0.18        None
re-random/rand-4-30-180-15.159.sdimacs    done                             0.16        0.16        None
re-random/rand-4-30-90-15.140.sdimacs     done                             0.11        0.12        None
