   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/ressat-full.xml
name:                    ressat-full
run sets:                minimize-BDD.RandomExist, bare-BDD.RandomExist, minimize-Cachet.RandomExist, bare-Cachet.RandomExist
date:                    Thu, 2021-01-28 17:40:12 CST
tool:                    ABC
tool executable:         bin/abc
options:                 
parallel runs:           12
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-0A
os:                      Linux-5.4.0-26-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-2630 0 @ 2.30GHz
- cores:                 24
- max frequency:         2800.0 MHz
- turbo boost enabled:   False
ram:                     219679.203328 MB
------------------------------------------------------------



minimize-BDD.RandomExist
Run set 1 of 4 with options '-c ssat -vt' and propertyfile 'None'

inputfile                              status                       cpu time   wall time        host
re-strategic-company/x10.14.sdimacs    done                             0.10        0.10        None
re-strategic-company/x10.19.sdimacs    done                             0.12        0.12        None
re-strategic-company/x10.4.sdimacs     done                             0.09        0.09        None
re-strategic-company/x10.9.sdimacs     done                             0.11        0.11        None
re-strategic-company/x15.14.sdimacs    done                             7.27        7.28        None
re-strategic-company/x15.19.sdimacs    done                             6.38        6.38        None
re-strategic-company/x15.4.sdimacs     done                             7.07        7.07        None
re-strategic-company/x15.9.sdimacs     done                             7.20        7.20        None
re-strategic-company/x20.14.sdimacs    TIMEOUT (ERROR (1))            901.00      901.04        None
re-strategic-company/x20.19.sdimacs    TIMEOUT (ERROR (1))            901.00      901.04        None
re-strategic-company/x20.4.sdimacs     TIMEOUT (ERROR (1))            900.99      901.05        None
re-strategic-company/x20.9.sdimacs     TIMEOUT (ERROR (1))            901.03      901.04        None
re-strategic-company/x25.14.sdimacs    TIMEOUT (ERROR (1))            900.96      901.03        None
re-strategic-company/x25.19.sdimacs    TIMEOUT (ERROR (1))            901.02      901.04        None
re-strategic-company/x25.4.sdimacs     TIMEOUT (ERROR (1))            901.00      901.04        None
re-strategic-company/x25.9.sdimacs     TIMEOUT (ERROR (1))            901.01      901.03        None
re-strategic-company/x30.14.sdimacs    TIMEOUT (ERROR (1))            900.99      901.04        None
re-strategic-company/x30.19.sdimacs    TIMEOUT (ERROR (1))            901.00      901.03        None
re-strategic-company/x30.4.sdimacs     TIMEOUT (ERROR (1))            901.00      901.03        None
re-strategic-company/x30.9.sdimacs     TIMEOUT (ERROR (1))            900.97      901.03        None
re-strategic-company/x35.14.sdimacs    TIMEOUT (ERROR (1))            900.99      901.04        None
re-strategic-company/x35.19.sdimacs    TIMEOUT (ERROR (1))            900.97      901.04        None
re-strategic-company/x35.4.sdimacs     TIMEOUT (ERROR (1))            901.02      901.03        None
re-strategic-company/x35.9.sdimacs     TIMEOUT (ERROR (1))            900.96      901.03        None
re-strategic-company/x40.14.sdimacs    TIMEOUT (ERROR (1))            901.00      901.04        None
re-strategic-company/x40.19.sdimacs    TIMEOUT (ERROR (1))            901.02      901.04        None
re-strategic-company/x40.4.sdimacs     TIMEOUT (ERROR (1))            900.99      901.04        None
re-strategic-company/x40.9.sdimacs     TIMEOUT (ERROR (1))            901.00      901.04        None
re-strategic-company/x45.14.sdimacs    TIMEOUT (ERROR (1))            901.00      901.05        None
re-strategic-company/x45.19.sdimacs    TIMEOUT (ERROR (1))            901.00      901.05        None
re-strategic-company/x45.4.sdimacs     TIMEOUT (ERROR (1))            901.01      901.05        None
re-strategic-company/x45.9.sdimacs     TIMEOUT (ERROR (1))            900.99      901.04        None
re-strategic-company/x5.14.sdimacs     done                             0.05        0.05        None
re-strategic-company/x5.19.sdimacs     done                             0.05        0.05        None
re-strategic-company/x5.4.sdimacs      done                             0.06        0.06        None
re-strategic-company/x5.9.sdimacs      done                             0.06        0.06        None
re-strategic-company/x50.14.sdimacs    TIMEOUT (ERROR (1))            900.98      901.04        None
re-strategic-company/x50.19.sdimacs    TIMEOUT (ERROR (1))            901.01      901.05        None
re-strategic-company/x50.4.sdimacs     TIMEOUT (ERROR (1))            900.97      901.05        None
re-strategic-company/x50.9.sdimacs     TIMEOUT (ERROR (1))            901.03      901.05        None
re-strategic-company/x55.14.sdimacs    TIMEOUT (ERROR (1))            901.01      901.05        None
re-strategic-company/x55.19.sdimacs    TIMEOUT (ERROR (1))            901.03      901.06        None
re-strategic-company/x55.4.sdimacs     TIMEOUT (ERROR (1))            901.04      901.06        None
re-strategic-company/x55.9.sdimacs     TIMEOUT (ERROR (1))            901.03      901.06        None
