   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dcssat-full.xml
name:                    dcssat-full
run sets:                default
date:                    Fri, 2021-01-29 19:06:55 CST
tool:                    DC-SSAT
tool executable:         bin/dcssat
options:                 
parallel runs:           12
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-0A
os:                      Linux-5.4.0-26-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-2630 0 @ 2.30GHz
- cores:                 24
- max frequency:         2800.0 MHz
- turbo boost enabled:   False
ram:                     219679.203328 MB
------------------------------------------------------------



default
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                              status                       cpu time   wall time        host
ere-sand-castle/SC-11.sdimacs                          done                             0.11        0.12        None
ere-sand-castle/SC-12.sdimacs                          done                             0.23        0.23        None
ere-sand-castle/SC-13.sdimacs                          done                             0.51        0.51        None
ere-sand-castle/SC-14.sdimacs                          done                             1.08        1.08        None
ere-sand-castle/SC-15.sdimacs                          done                             2.21        2.21        None
ere-sand-castle/SC-16.sdimacs                          done                             4.95        4.95        None
ere-sand-castle/SC-17.sdimacs                          done                            10.35       10.35        None
ere-sand-castle/SC-18.sdimacs                          done                            21.91       21.91        None
ere-sand-castle/SC-19.sdimacs                          done                            50.77       50.77        None
ere-sand-castle/SC-2.sdimacs                           done                             0.01        0.01        None
ere-sand-castle/SC-20.sdimacs                          done                           113.60      113.60        None
ere-sand-castle/SC-21.sdimacs                          done                           218.99      218.99        None
ere-sand-castle/SC-22.sdimacs                          OUT OF MEMORY                  361.81      361.83        None
ere-sand-castle/SC-23.sdimacs                          OUT OF MEMORY                  359.26      359.26        None
ere-sand-castle/SC-24.sdimacs                          OUT OF MEMORY                  370.38      370.39        None
ere-sand-castle/SC-25.sdimacs                          OUT OF MEMORY                  357.22      357.25        None
ere-sand-castle/SC-3.sdimacs                           done                             0.01        0.01        None
ere-sand-castle/SC-4.sdimacs                           done                             0.01        0.01        None
ere-sand-castle/SC-5.sdimacs                           done                             0.01        0.01        None
ere-sand-castle/SC-6.sdimacs                           done                             0.01        0.01        None
ere-sand-castle/SC-7.sdimacs                           done                             0.01        0.02        None
ere-sand-castle/SC-8.sdimacs                           done                             0.02        0.02        None
