tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	DC-SSAT 	DC-SSAT 	DC-SSAT 	DC-SSAT 
run set	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	dcssat-full.default	dcssat-full.default	dcssat-full.default	dcssat-full.default
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-conformant/cube_c9_par--opt-11_.sdimacs	TIMEOUT (ERROR (1))	900.985695705	901.013618116267	106.061824	TIMEOUT (ERROR (1))	901.017628716	905.6868294710293	141.172736	TIMEOUT (ERROR (1))	901.044540484	901.0432178620249	131.751936	TIMEOUT (ERROR (1))	900.89397647	901.0158595922403	116.453376	TIMEOUT (ERROR (1))	901.014953643	901.04832535889	197.148672	TIMEOUT	900.998319775	901.0419094217941	479.387648
ere-conformant/emptyroom_e3_par--opt-10_.sdimacs	TIMEOUT (ERROR (1))	900.997153708	901.0377300558612	296.894464	TIMEOUT (ERROR (1))	901.058315626	905.2954790228978	406.011904	TIMEOUT (ERROR (1))	901.015407026	901.0387306520715	297.844736	TIMEOUT (ERROR (1))	901.007179642	901.052343483083	356.069376	TIMEOUT (ERROR (1))	900.997543907	901.0477479789406	374.726656	TIMEOUT	901.025653304	901.054397828877	915.001344
ere-conformant/emptyroom_e3_ser---19_.sdimacs	TIMEOUT (ERROR (1))	900.996328544	901.0220672250725	145.666048	TIMEOUT (ERROR (1))	900.996474785	901.0318551859818	213.540864	TIMEOUT (ERROR (1))	900.985100447	901.0294029382057	156.327936	TIMEOUT (ERROR (1))	901.002553338	901.0207503200509	155.062272	TIMEOUT (ERROR (1))	901.01483018	901.0319039397873	219.697152	TIMEOUT	901.069205577	901.0939433416352	1586.429952
ere-conformant/emptyroom_e3_ser--opt-20_.sdimacs	TIMEOUT (ERROR (1))	900.995785547	901.02173145907	116.436992	TIMEOUT (ERROR (1))	901.014216445	901.0274257408455	192.434176	TIMEOUT (ERROR (1))	900.980839469	901.0225650067441	124.764160	TIMEOUT (ERROR (1))	900.981222994	901.0269521232694	168.042496	TIMEOUT (ERROR (1))	900.992981914	901.0271190507337	195.440640	TIMEOUT	901.068321058	901.0968508226797	1608.388608
ere-conformant/emptyroom_e4_par---21_.sdimacs	TIMEOUT (ERROR (1))	900.977912056	901.0225139656104	109.408256	TIMEOUT (ERROR (1))	900.951023624	901.0222306316718	111.927296	TIMEOUT (ERROR (1))	901.044229891	901.043182192836	124.948480	TIMEOUT (ERROR (1))	901.003731033	901.0154262310825	115.200000	TIMEOUT (ERROR (1))	901.018301956	901.0338944550604	128.802816	TIMEOUT	900.987383387	901.0256740199402	267.853824
ere-conformant/emptyroom_e4_par--opt-22_.sdimacs	TIMEOUT (ERROR (1))	901.020018248	901.0224325456657	153.927680	TIMEOUT (ERROR (1))	900.967072088	901.025681341067	171.884544	TIMEOUT (ERROR (1))	901.026681253	901.0424753190018	171.229184	TIMEOUT (ERROR (1))	900.974272188	901.018877285067	122.970112	TIMEOUT (ERROR (1))	901.003219891	901.0409631486982	202.604544	TIMEOUT	900.998729968	901.0278298519552	266.317824
ere-conformant/emptyroom_e4_ser--opt-44_.sdimacs	TIMEOUT (ERROR (1))	901.009418202	901.024820337072	229.322752	TIMEOUT (ERROR (1))	901.0072429	901.0229356409982	202.764288	TIMEOUT (ERROR (1))	901.03026073	901.0438413578086	251.764736	TIMEOUT (ERROR (1))	901.022396955	901.0248825182207	238.084096	TIMEOUT (ERROR (1))	901.034204419	901.0392767530866	217.174016	TIMEOUT	901.020445424	901.0470523014665	556.318720
ere-conformant/ring_r3_ser--opt-8_.sdimacs	TIMEOUT (ERROR (1))	901.05486953	901.0857729632407	659.595264	TIMEOUT (ERROR (1))	901.091127677	901.1174689200707	875.401216	TIMEOUT (ERROR (1))	901.084045751	901.0952053000219	677.654528	done	426.215063127	426.2245976771228	430.899200	done	569.758247337	569.7764108697884	534.695936	TIMEOUT	901.162190621	901.1869705310091	2547.048448
ere-conformant/ring_r4_ser--opt-11_.sdimacs	TIMEOUT (ERROR (1))	900.969729483	901.0471347696148	376.406016	TIMEOUT (ERROR (1))	901.038804299	901.059992571827	439.218176	TIMEOUT (ERROR (1))	900.960232426	901.0588795067742	484.061184	TIMEOUT (ERROR (1))	900.993082662	901.0443170815706	390.340608	TIMEOUT (ERROR (1))	900.978864827	901.0565980300307	487.391232	TIMEOUT	901.03450401	901.05435688328	697.151488
ere-conformant/ring_r6_ser---16_.sdimacs	SEGMENTATION FAULT	0.902168826	1.2813586201518774	134.004736	SEGMENTATION FAULT	0.876469457	1.1935896356590092	133.861376	SEGMENTATION FAULT	425.152420034	425.5512880710885	202.424320	SEGMENTATION FAULT	0.854853899	1.237099191173911	134.008832	SEGMENTATION FAULT	427.419437505	427.70203169388697	207.134720	TIMEOUT	901.064211457	901.0824766894802	881.840128
