   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dissertation/erssat.xml
name:                    erssat
run sets:                default-BDD, bare-BDD
date:                    Sat, 2021-04-24 21:58:07 CST
tool:                    ABC
tool executable:         bin/abc
options:
parallel runs:           8
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-PowerEdge-T440
os:                      Linux-5.4.0-58-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon Silver 4210 CPU @ 2.20GHz
- cores:                 40
- max frequency:         3200.0 MHz
- turbo boost enabled:   False
ram:                     134616.424448 MB
------------------------------------------------------------



default-BDD
Run set 1 of 2 with options '-c ssat -vt' and propertyfile 'None'

inputfile                                              status                       cpu time   wall time        host
--------------------------------------------------------------------------------------------------------------------
er-random-k-CNF/rand-3-10-20-5.1.sdimacs               done                             0.05        0.07        None
er-random-k-CNF/rand-3-10-20-5.2.sdimacs               done                             0.05        0.08        None
er-random-k-CNF/rand-3-10-20-5.3.sdimacs               done                             0.05        0.05        None
er-random-k-CNF/rand-3-10-20-5.4.sdimacs               done                             0.05        0.06        None
er-random-k-CNF/rand-3-10-20-5.5.sdimacs               done                             0.05        0.05        None
er-random-k-CNF/rand-3-10-30-5.10.sdimacs              done                             0.05        0.05        None
er-random-k-CNF/rand-3-10-30-5.6.sdimacs               done                             0.05        0.05        None
er-random-k-CNF/rand-3-10-30-5.7.sdimacs               done                             0.04        0.04        None
er-random-k-CNF/rand-3-10-30-5.8.sdimacs               done                             0.04        0.06        None
er-random-k-CNF/rand-3-10-30-5.9.sdimacs               done                             0.04        0.05        None
er-random-k-CNF/rand-3-10-40-5.11.sdimacs              done                             0.05        0.05        None
er-random-k-CNF/rand-3-10-40-5.12.sdimacs              done                             0.04        0.04        None
er-random-k-CNF/rand-3-10-40-5.13.sdimacs              done                             0.04        0.05        None
er-random-k-CNF/rand-3-10-40-5.14.sdimacs              done                             0.05        0.05        None
er-random-k-CNF/rand-3-10-40-5.15.sdimacs              done                             0.04        0.05        None
er-random-k-CNF/rand-3-10-50-5.16.sdimacs              done                             0.04        0.05        None
er-random-k-CNF/rand-3-10-50-5.17.sdimacs              done                             0.04        0.04        None
er-random-k-CNF/rand-3-10-50-5.18.sdimacs              done                             0.04        0.05        None
er-random-k-CNF/rand-3-10-50-5.19.sdimacs              done                             0.05        0.05        None
er-random-k-CNF/rand-3-10-50-5.20.sdimacs              done                             0.05        0.05        None
er-random-k-CNF/rand-3-20-100-10.36.sdimacs            done                             0.05        0.05        None
er-random-k-CNF/rand-3-20-100-10.37.sdimacs            done                             0.05        0.05        None
er-random-k-CNF/rand-3-20-100-10.38.sdimacs            done                             0.04        0.05        None
er-random-k-CNF/rand-3-20-100-10.39.sdimacs            done                             0.04        0.06        None
er-random-k-CNF/rand-3-20-100-10.40.sdimacs            done                             0.04        0.06        None
er-random-k-CNF/rand-3-20-40-10.21.sdimacs             done                             0.05        0.05        None
er-random-k-CNF/rand-3-20-40-10.22.sdimacs             done                             0.06        0.07        None
er-random-k-CNF/rand-3-20-40-10.23.sdimacs             done                             0.06        0.06        None
er-random-k-CNF/rand-3-20-40-10.24.sdimacs             done                             0.06        0.07        None
er-random-k-CNF/rand-3-20-40-10.25.sdimacs             done                             0.06        0.06        None
er-random-k-CNF/rand-3-20-60-10.26.sdimacs             done                             0.05        0.06        None
er-random-k-CNF/rand-3-20-60-10.27.sdimacs             done                             0.05        0.05        None
er-random-k-CNF/rand-3-20-60-10.28.sdimacs             done                             0.06        0.06        None
er-random-k-CNF/rand-3-20-60-10.29.sdimacs             done                             0.05        0.06        None
er-random-k-CNF/rand-3-20-60-10.30.sdimacs             done                             0.05        0.05        None
er-random-k-CNF/rand-3-20-80-10.31.sdimacs             done                             0.04        0.05        None
er-random-k-CNF/rand-3-20-80-10.32.sdimacs             done                             0.05        0.05        None
