tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	DC-SSAT 	DC-SSAT 	DC-SSAT 	DC-SSAT 
run set	ressat-full.minimize-BDD.RandomExist	ressat-full.minimize-BDD.RandomExist	ressat-full.minimize-BDD.RandomExist	ressat-full.minimize-BDD.RandomExist	ressat-full.bare-BDD.RandomExist	ressat-full.bare-BDD.RandomExist	ressat-full.bare-BDD.RandomExist	ressat-full.bare-BDD.RandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	dcssat-full.default	dcssat-full.default	dcssat-full.default	dcssat-full.default
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-MPEC/c432-er.sdimacs									TIMEOUT (ERROR (1))	901.104112579	902.3356907148845	844.820480	TIMEOUT (ERROR (1))	901.101759259	901.1189380469732	833.789952	TIMEOUT (ERROR (1))	901.115472021	901.1451688730158	869.076992	TIMEOUT (ERROR (1))	901.091382676	901.1241897009313	859.815936	TIMEOUT (ERROR (1))	901.041463145	901.1001032339409	579.354624	OUT OF MEMORY	439.093936966	439.1040482548997	8000.000000
ere-MPEC/c499-er.sdimacs									done	0.063969622	0.06506275106221437	15.618048	done	0.06353388	0.06492382474243641	15.605760	done	0.068228745	0.07181214215233922	15.618048	done	0.068997908	0.07015003357082605	15.749120	done	0.070664455	0.07932101003825665	15.736832	done	0.014569187	0.01615641638636589	5.361664
ere-MPEC/c5315-er.sdimacs									TIMEOUT (ERROR (1))	900.236050874	901.0379251637496	201.809920	TIMEOUT (ERROR (1))	900.967952172	901.0537555804476	289.296384	TIMEOUT (ERROR (1))	901.015076992	901.0291164321825	198.537216	TIMEOUT (ERROR (1))	901.021628984	901.0412077298388	228.544512	TIMEOUT (ERROR (1))	901.013907712	901.0425849719904	265.867264	TIMEOUT	901.055213295	901.0726158702746	1010.589696
ere-MPEC/c7552-er.sdimacs									TIMEOUT (ERROR (1))	901.004270684	905.0865944819525	1081.786368	TIMEOUT (ERROR (1))	901.157986617	901.1898468928412	1190.232064	TIMEOUT (ERROR (1))	901.119994115	901.1573179326952	1107.800064	TIMEOUT (ABORTED)	901.040086545	901.4532446786761	253.763584	TIMEOUT (ERROR (1))	900.989222041	901.0128627768718	65.044480	OUT OF MEMORY	362.359200373	362.37571130599827	8000.000000
ere-MPEC/c880-er.sdimacs									TIMEOUT (ERROR (1))	901.113594384	903.5588546898216	838.062080	TIMEOUT (ERROR (1))	901.066464591	901.1271462072618	753.692672	TIMEOUT (ERROR (1))	901.09689145	901.1206164681353	775.233536	TIMEOUT (ERROR (1))	901.125665716	901.1613549217582	995.811328	TIMEOUT (ERROR (1))	901.124783764	901.1631821258925	1005.322240	TIMEOUT	901.036566752	901.0784551631659	1062.477824
ere-sand-castle/SC-1.sdimacs									done	0.087018582	0.08909534011036158	14.045184	done	0.057232439	0.05836764303967357	14.045184	done	0.066485182	0.0686643710359931	14.045184	done	0.0772033	0.07860180549323559	14.045184	done	0.06021375	0.061566194985061884	14.045184	done	0.007036222	0.00860337633639574	0.643072
ere-sand-castle/SC-10.sdimacs									done	5.646111966	5.67180792381987	33.771520	done	4.676685535	4.678371804300696	31.830016	done	5.136919411	5.139291688334197	33.710080	done	9.781611496	9.783555212430656	45.899776	done	10.714539209	10.717131114099175	43.696128	done	0.054888574	0.0567247960716486	3.919872
ere-sand-castle/SC-11.sdimacs									done	16.459190385	16.46128753805533	68.313088	done	17.560933346	17.563457313925028	72.839168	done	17.531697235	17.535021820105612	68.313088	done	37.415676088	37.42820567265153	94.527488	done	43.243944192	43.250428507104516	103.968768	done	0.112583106	0.11561393272131681	6.152192
ere-sand-castle/SC-12.sdimacs									done	78.801676695	78.84949786309153	100.626432	done	65.632724116	65.63627244578674	97.402880	done	95.199707209	95.20847358414903	100.532224	done	195.708422311	195.72660796903074	175.087616	done	172.826736045	172.83220834378153	171.286528	done	0.226108009	0.22721039224416018	10.211328
ere-sand-castle/SC-13.sdimacs									done	225.530411369	225.80259924102575	146.296832	done	236.295743042	236.30679663363844	149.774336	done	252.452743608	252.46132394019514	146.276352	done	698.423105279	698.4670112933964	310.435840	done	723.95655552	724.0261647040024	316.211200	done	0.511034078	0.5122073851525784	18.468864
ere-sand-castle/SC-14.sdimacs									done	703.621683873	704.8784701162949	255.008768	TIMEOUT (ERROR (1))	901.003346803	901.027677629143	211.763200	done	855.99159088	856.0448501417413	255.119360	TIMEOUT (ERROR (1))	901.01682112	901.0567507911474	353.914880	TIMEOUT (ERROR (1))	900.991255686	901.0409704251215	310.489088	done	1.077570394	1.0787238199263811	35.377152
ere-sand-castle/SC-15.sdimacs									TIMEOUT (ERROR (1))	901.032952772	902.4539439771324	199.131136	TIMEOUT (ERROR (1))	901.00677178	901.0452829650603	265.248768	TIMEOUT (ERROR (1))	901.001447213	901.0268447403796	194.162688	TIMEOUT (ERROR (1))	900.975362131	901.0421595228836	289.333248	TIMEOUT (ERROR (1))	901.005151286	901.0396179533564	264.159232	done	2.210101097	2.2133448561653495	69.586944
ere-sand-castle/SC-16.sdimacs									TIMEOUT (ERROR (1))	900.087450173	901.028598183766	147.415040	TIMEOUT (ERROR (1))	901.006632967	901.0253531401977	152.690688	TIMEOUT (ERROR (1))	900.974568862	901.020655205939	143.482880	TIMEOUT (ERROR (1))	901.001702278	901.0312270233408	192.323584	TIMEOUT (ERROR (1))	901.002078809	901.028208791744	220.827648	done	4.949555936	4.950704728253186	139.579392
ere-sand-castle/SC-17.sdimacs									TIMEOUT (ERROR (1))	901.019650696	902.5709401397035	130.883584	TIMEOUT (ERROR (1))	900.950564489	901.023318239022	129.892352	TIMEOUT (ERROR (1))	900.991381174	901.0175496470183	122.253312	TIMEOUT (ERROR (1))	900.992520254	901.0226615006104	174.743552	TIMEOUT (ERROR (1))	900.961929152	901.0234440406784	184.958976	done	10.349869421	10.351055411621928	282.316800
ere-sand-castle/SC-18.sdimacs									TIMEOUT (ABORTED)	901.014920699	904.8708173790947	116.981760	TIMEOUT (ERROR (1))	900.982639933	901.0180897442624	131.981312	TIMEOUT (ABORTED)	900.945531354	901.4401881447993	116.891648	TIMEOUT (ERROR (1))	901.005716166	901.0208832640201	159.485952	TIMEOUT (ERROR (1))	900.979697156	901.0296574630775	208.240640	done	21.912381718	21.913622451014817	594.006016
ere-sand-castle/SC-19.sdimacs									TIMEOUT (ERROR (1))	901.009777066	904.333609784022	84.262912	TIMEOUT (ERROR (1))	901.00669073	901.0150566706434	100.020224	TIMEOUT (ERROR (1))	900.971246091	901.0137122212909	84.332544	TIMEOUT (ABORTED)	900.979276374	901.2678691204637	90.959872	TIMEOUT (ERROR (1))	900.999669631	901.0210803188384	131.432448	done	50.770897252	50.772730878554285	1209.786368
ere-sand-castle/SC-2.sdimacs									done	0.059581019	0.060861301608383656	14.577664	done	0.059118036	0.06090745888650417	14.581760	done	0.072094397	0.07436212291941047	14.577664	done	0.063258511	0.0645604683086276	14.577664	done	0.05979149	0.06196846021339297	14.577664	done	0.006324678	0.007224992848932743	0.774144
ere-sand-castle/SC-20.sdimacs									TIMEOUT (ERROR (1))	900.22084518	901.0132632241584	97.267712	TIMEOUT (ABORTED)	900.962995588	901.4310281658545	114.413568	TIMEOUT (ERROR (1))	900.940484975	901.0144890979864	93.900800	TIMEOUT (ERROR (1))	901.00630458	901.0149339502677	100.446208	TIMEOUT (ERROR (1))	901.013449639	901.030141371768	180.453376	done	113.60083963	113.60483691096306	2466.631680
ere-sand-castle/SC-21.sdimacs									TIMEOUT (ERROR (1))	901.009246568	903.82291459525	86.360064	TIMEOUT (ERROR (1))	900.987693027	901.0174233331345	114.753536	TIMEOUT (ERROR (1))	900.979890639	901.0140918609686	86.458368	TIMEOUT (ABORTED)	900.990390191	901.4570995662361	85.975040	TIMEOUT (ERROR (1))	900.979435529	901.0368354269303	168.964096	done	218.99144566	218.9940911438316	5030.268928
ere-sand-castle/SC-22.sdimacs									TIMEOUT (ERROR (1))	900.300476196	901.0140564120375	97.144832	TIMEOUT (ERROR (1))	901.010159666	901.0264850449748	115.433472	TIMEOUT (ABORTED)	900.97711344	901.549957646057	95.170560	TIMEOUT (ERROR (1))	900.950040876	901.0145701020956	94.924800	TIMEOUT (ERROR (1))	900.991358394	901.0280649987981	169.291776	OUT OF MEMORY	361.805026514	361.8308564228937	8000.000000
ere-sand-castle/SC-23.sdimacs									TIMEOUT (ERROR (1))	901.017041176	904.7389022880234	82.681856	TIMEOUT (ERROR (1))	900.947714104	901.0214095362462	106.430464	TIMEOUT (ERROR (1))	900.987781334	901.0166240199469	82.640896	TIMEOUT (ERROR (1))	901.01569325	901.017095121555	84.537344	TIMEOUT (ERROR (1))	901.003365663	901.0301897139288	165.711872	OUT OF MEMORY	359.255353053	359.2647131225094	8000.000000
ere-sand-castle/SC-24.sdimacs									TIMEOUT (ERROR (1))	900.563129971	901.0184663119726	84.422656	TIMEOUT (ERROR (1))	901.000407575	901.0175867611542	87.764992	TIMEOUT (ERROR (1))	901.00203584	901.0172843951732	85.434368	TIMEOUT (ERROR (1))	900.973722365	901.0160748511553	95.297536	TIMEOUT (ERROR (1))	900.944288993	901.0176930357702	98.775040	OUT OF MEMORY	370.379442647	370.38847341388464	8000.000000
ere-sand-castle/SC-25.sdimacs									TIMEOUT (ABORTED)	901.017895414	902.7651153490879	85.266432	TIMEOUT (ERROR (1))	900.966918026	901.0199167910032	89.780224	TIMEOUT (ERROR (1))	900.987073391	901.0163231510669	85.323776	TIMEOUT (ERROR (1))	900.98989727	901.0170840164647	86.122496	TIMEOUT (ERROR (1))	900.994197642	901.0212232838385	99.143680	OUT OF MEMORY	357.217641314	357.2473293039948	8000.000000
ere-sand-castle/SC-3.sdimacs									done	0.059176006	0.060188238974660635	14.839808	done	0.059738179	0.06347479298710823	14.839808	done	0.062344889	0.06366790179163218	14.839808	done	0.067502727	0.06892620865255594	14.839808	done	0.061114287	0.062404661905020475	14.839808	done	0.007515198	0.008386892266571522	1.036288
ere-sand-castle/SC-4.sdimacs									done	0.062691124	0.06381877698004246	15.101952	done	0.063035898	0.06709432182833552	15.101952	done	0.0666285	0.06825233018025756	14.970880	done	0.071790697	0.07430285774171352	15.126528	done	0.071068171	0.07301636319607496	15.101952	done	0.008293201	0.009537052363157272	1.167360
ere-sand-castle/SC-5.sdimacs									done	0.071384037	0.07241714466363192	15.228928	done	0.070873996	0.07539779879152775	15.228928	done	0.074236879	0.07618766091763973	15.228928	done	0.085292693	0.0868297079578042	15.360000	done	0.081028932	0.08199970796704292	15.360000	done	0.008362481	0.00947588961571455	1.429504
ere-sand-castle/SC-6.sdimacs									done	0.140026755	0.14168169302865863	15.622144	done	0.097275357	0.09864935092628002	15.749120	done	0.096633815	0.09821334481239319	15.622144	done	0.127600252	0.129097037948668	15.884288	done	0.135636021	0.13686920795589685	16.011264	done	0.010620794	0.012140491046011448	1.560576
ere-sand-castle/SC-7.sdimacs									done	0.180036457	0.1813141698949039	16.539648	done	0.1694627	0.1703994031995535	16.535552	done	0.166948227	0.16847571497783065	16.539648	done	0.257222	0.2584347231313586	17.195008	done	0.262916655	0.264316035900265	17.190912	done	0.012023155	0.015065367333590984	1.822720
ere-sand-castle/SC-8.sdimacs									done	0.513053427	0.530378513969481	18.800640	done	0.405291387	0.40617005713284016	18.751488	done	0.415353858	0.41687973821535707	18.898944	done	0.712616072	0.7143576834350824	20.340736	done	0.638343599	0.6401054901070893	20.193280	done	0.017205291	0.02033622656017542	2.215936
ere-sand-castle/SC-9.sdimacs									done	1.171036228	1.1720978580415249	22.044672	done	1.038942626	1.041797751095146	22.138880	done	1.127837951	1.129466257058084	22.044672	done	2.201371972	2.2032314501702785	25.452544	done	1.917039835	1.920889320783317	25.661440	done	0.029754316	0.03111438639461994	2.871296
ere-ToiletA/toilet_a_02_01.2.sdimacs									done	0.087697025	0.1525600589811802	14.577664	done	0.057060864	0.058083197101950645	14.573568	done	0.060587663	0.06253746896982193	14.577664	done	0.06019607	0.06154122017323971	14.577664	done	0.060648453	0.06238845409825444	14.573568	done	0.007082708	0.008009834215044975	0.774144
ere-ToiletA/toilet_a_02_01.3.sdimacs									done	0.058843964	0.06007650215178728	14.577664	done	0.061390098	0.06265242956578732	14.573568	done	0.062134573	0.06356141483411193	14.577664	done	0.062406048	0.06405806634575129	14.577664	done	0.063594248	0.06501019140705466	14.573568	done	0.006805212	0.008303198032081127	1.036288
ere-ToiletA/toilet_a_02_01.4.sdimacs									done	0.094700756	0.09588527027517557	14.839808	done	0.062012226	0.0637581548653543	14.704640	done	0.06375969	0.06501903897151351	14.839808	done	0.066214114	0.06816348806023598	14.839808	done	0.063300738	0.06677384208887815	14.835712	done	0.007514035	0.008740981109440327	1.167360
ere-ToiletA/toilet_a_02_05.2.sdimacs									done	0.058621614	0.06430562678724527	14.577664	done	0.058545031	0.05954823596403003	14.573568	done	0.059170733	0.06023062812164426	14.577664	done	0.062696241	0.06376855168491602	14.577664	done	0.062301068	0.06364809116348624	14.573568	done	0.007604802	0.008719410747289658	1.953792
ere-ToiletA/toilet_a_02_10.2.sdimacs									done	0.086934676	0.0881762127391994	14.577664	done	0.060982517	0.062101046089082956	14.565376	done	0.06091802	0.062232403084635735	14.708736	done	0.06621126	0.06744243390858173	14.581760	done	0.059694828	0.06110265804454684	14.696448	done	0.00996535	0.011056097224354744	4.182016
ere-ToiletA/toilet_a_04_01.2.sdimacs									done	0.091460155	0.09265795396640897	15.233024	done	0.061250816	0.06231291312724352	15.233024	done	0.063714309	0.065757323987782	15.233024	done	0.062918737	0.06390204187482595	15.233024	done	0.068803591	0.07039180491119623	15.228928	done	0.007850108	0.008956203237175941	1.691648
ere-ToiletA/toilet_a_04_01.3.sdimacs									done	0.074262402	0.07537353876978159	15.888384	done	0.070839163	0.07247629901394248	15.884288	done	0.075277769	0.07727850880473852	15.888384	done	0.083185908	0.08471684996038675	16.019456	done	0.080238708	0.0821481179445982	16.015360	done	0.008679922	0.009583366103470325	2.084864
ere-ToiletA/toilet_a_04_01.4.sdimacs									done	0.119094321	0.12032057670876384	17.850368	done	0.124272481	0.12588070705533028	18.112512	done	0.128784565	0.13049390073865652	17.850368	done	0.16216936	0.1634900849312544	18.243584	done	0.190176357	0.19282955629751086	18.636800	done	0.010813369	0.012086651287972927	2.609152
ere-ToiletA/toilet_a_04_01.5.sdimacs									done	0.358131058	0.3600385212339461	19.808256	done	0.350905773	0.3525085342116654	19.906560	done	0.362233126	0.36355848191305995	19.808256	done	0.456370115	0.4578222455456853	20.758528	done	0.532093689	0.5334137938916683	21.131264	done	0.014792392	0.016144324094057083	3.133440
ere-ToiletA/toilet_a_04_01.6.sdimacs									done	1.799276151	1.871573043987155	25.628672	done	1.229723434	1.231355670839548	26.058752	done	1.285780987	1.2876182673498988	25.559040	done	1.152916257	1.15466648619622	23.867392	done	1.748984282	1.7509255767799914	26.275840	done	0.024807473	0.026447423733770847	3.919872
ere-ToiletA/toilet_a_04_01.7.sdimacs									done	4.667235007	4.6712483377195895	34.959360	done	4.736437466	4.738116754218936	37.732352	done	4.755586545	4.757114084903151	34.926592	done	3.719837651	3.721748703159392	33.345536	done	3.980933394	3.985283826943487	34.107392	done	0.044897236	0.04611948970705271	5.099520
ere-ToiletA/toilet_a_04_01.8.sdimacs									done	1.439671533	1.4409915343858302	27.332608	done	3.645439751	3.6469321637414396	34.275328	done	1.478468539	1.4799654097296298	27.361280	done	1.674361241	1.675884598866105	27.963392	done	2.042011887	2.043408801779151	28.725248	done	0.093374688	0.0946063008159399	7.196672
ere-ToiletA/toilet_a_04_05.2.sdimacs									done	0.07791303	0.07911810465157032	15.888384	done	0.057814365	0.059934900142252445	15.224832	done	0.077939468	0.07938604522496462	15.888384	done	0.085799837	0.08689389564096928	16.019456	done	0.062355196	0.06378717115148902	15.355904	done	0.012755018	0.013906314969062805	4.186112
ere-ToiletA/toilet_a_04_10.2.sdimacs									done	0.074018841	0.07627103012055159	15.626240	done	0.152274765	0.15358765702694654	18.223104	done	0.069949045	0.0716116027906537	15.626240	done	0.072524952	0.07429922372102737	15.888384	done	0.197372984	0.19881973788142204	19.271680	done	0.022099256	0.023388950154185295	8.900608
ere-ToiletA/toilet_a_06_01.10.sdimacs									TIMEOUT (ERROR (1))	900.25979772	901.2008136357181	850.292736	TIMEOUT (ERROR (1))	901.101899533	901.1943895830773	886.452224	TIMEOUT (ERROR (1))	901.1633583	901.1974348500371	950.472704	done	821.161116749	821.1842898288742	834.596864	TIMEOUT (ERROR (1))	901.135056363	901.1845808508806	795.029504	done	28.867578089	28.86965407524258	230.019072
ere-ToiletA/toilet_a_06_01.11.sdimacs									TIMEOUT (ERROR (1))	900.350904742	901.1656631953083	849.121280	TIMEOUT (ERROR (1))	901.122187031	901.1828392273746	888.057856	TIMEOUT (ERROR (1))	901.127149005	901.1635826602578	1024.102400	TIMEOUT (ERROR (1))	901.067062658	901.1381831858307	838.676480	TIMEOUT (ERROR (1))	901.094006818	901.1551840640604	770.351104	done	74.249899426	74.25141154322773	606.720000
ere-ToiletA/toilet_a_06_01.12.sdimacs									done	376.844982099	380.9533316013403	587.771904	TIMEOUT (ERROR (1))	901.121987742	901.1482143499888	899.682304	done	331.298423542	331.3162036240101	587.956224	done	336.859070451	336.8712639901787	439.537664	done	55.888438558	55.892225523944944	211.800064	done	174.156629994	174.16186882555485	1598.140416
ere-ToiletA/toilet_a_06_01.2.sdimacs									done	0.127458654	0.13178701745346189	16.805888	done	0.084396532	0.08551374217495322	16.801792	done	0.093184188	0.09500974183902144	16.936960	done	0.116153836	0.11775191407650709	17.199104	done	0.109418797	0.1109793670475483	17.195008	done	0.025416057	0.027028460055589676	5.099520
ere-ToiletA/toilet_a_06_01.3.sdimacs									done	0.250812681	0.2520723189227283	19.951616	done	0.168983814	0.17028649570420384	19.685376	done	0.178031449	0.17941879387944937	20.082688	done	0.24926101	0.2506685946136713	21.262336	done	0.242039691	0.24423287622630596	21.000192	done	0.036177722	0.037304763682186604	5.754880
ere-ToiletA/toilet_a_06_01.4.sdimacs									done	0.96253047	0.9998325472697616	25.722880	done	0.680352197	0.6820255960337818	24.535040	done	0.670511149	0.6717929728329182	25.849856	done	1.386454584	1.38830535300076	30.752768	done	1.405386996	1.4071852937340736	31.481856	done	0.105707791	0.10713505186140537	6.803456
ere-ToiletA/toilet_a_06_01.5.sdimacs									done	3.099618637	3.101129794958979	36.442112	done	3.040383076	3.0420283400453627	36.155392	done	3.059503874	3.0610206299461424	36.601856	done	5.468602856	5.470431564375758	48.893952	done	5.596358862	5.598579764831811	49.537024	done	0.240508913	0.24163616821169853	7.983104
ere-ToiletA/toilet_a_06_01.6.sdimacs									done	10.141859594	10.481106773018837	97.824768	done	8.522158156	8.524183085653931	86.757376	done	7.97866724	7.980322944000363	97.894400	done	15.987755232	15.990151098929346	106.844160	done	19.085412875	19.089898255188018	115.924992	done	0.687809806	0.689109206199646	10.604544
ere-ToiletA/toilet_a_06_01.7.sdimacs									done	38.530810025	38.53735354496166	185.896960	done	34.884135727	34.88723804662004	187.244544	done	35.914284674	35.917070186231285	185.892864	done	69.36479151	69.36875034868717	278.659072	done	70.152391317	70.15987593121827	287.838208	done	1.751848166	1.7532829558476806	16.633856
ere-ToiletA/toilet_a_06_01.8.sdimacs									done	250.046945346	250.29952566558495	466.305024	done	271.908271947	271.9174161660485	468.500480	done	217.389648607	217.3968728738837	466.427904	done	173.739322429	173.74667496047914	410.296320	done	183.364917693	183.3849433278665	380.551168	done	4.67319721	4.674884693697095	34.983936
ere-ToiletA/toilet_a_06_01.9.sdimacs									TIMEOUT (ERROR (1))	901.142719622	903.5696910689585	956.801024	TIMEOUT (ERROR (1))	901.148232625	901.2011961699463	995.131392	TIMEOUT (ERROR (1))	901.092332941	901.1740337111987	933.638144	TIMEOUT (ERROR (1))	901.12888374	901.1660872679204	983.564288	TIMEOUT (ERROR (1))	901.133451604	901.1691113328561	844.922880	done	11.789710137	11.79125162679702	83.218432
ere-ToiletA/toilet_a_06_05.2.sdimacs									done	54.429085796	54.60121795721352	226.136064	done	68.477360055	68.48212221404538	226.861056	done	57.874221972	57.87846159609035	226.349056	done	201.98764285	201.99332807026803	438.747136	done	218.43705284	218.45002965210006	463.622144	done	0.146513292	0.14783685561269522	9.949184
ere-ToiletA/toilet_a_06_05.3.sdimacs									TIMEOUT (ERROR (1))	901.140083185	901.2323780669831	850.681856	TIMEOUT (ERROR (1))	901.144163373	901.1692403741181	941.273088	TIMEOUT (ERROR (1))	901.116235242	901.148276518099	892.424192	TIMEOUT (ERROR (1))	901.108508809	901.1562353586778	942.342144	TIMEOUT (ERROR (1))	901.102114152	901.1596854557283	995.913728	done	2.780022836	2.781268522143364	49.270784
ere-ToiletA/toilet_a_06_05.4.sdimacs									done	1.052615096	1.0542169748805463	25.718784	TIMEOUT (ERROR (1))	901.12042055	901.1597642158158	993.554432	done	1.113681532	1.1180165302939713	25.923584	done	2.225376146	2.2271473295986652	33.124352	TIMEOUT (ERROR (1))	901.071042435	901.1564783179201	862.969856	done	57.105219477	57.10770048107952	781.836288
ere-ToiletA/toilet_a_06_10.2.sdimacs									done	0.484663913	0.4983124048449099	21.827584	done	0.080764296	0.0826491191983223	16.896000	done	0.359864864	0.36170690692961216	21.917696	done	0.448076325	0.44971698336303234	23.228416	done	0.102435428	0.10431492701172829	17.158144	done	0.428838032	0.4304446391761303	23.711744
ere-ToiletA/toilet_a_08_01.10.sdimacs									TIMEOUT (ERROR (1))	901.311423341	903.1868216600269	1870.307328	TIMEOUT (ERROR (1))	901.191671072	901.2343043559231	1605.312512	TIMEOUT (ERROR (1))	901.258380356	901.3097538109869	1986.834432	TIMEOUT (ERROR (1))	901.239985928	901.2696863440797	1871.880192	TIMEOUT (ERROR (1))	901.196681907	901.2612593499944	1824.641024	TIMEOUT	901.025110036	901.0452826116234	608.739328
ere-ToiletA/toilet_a_08_01.11.sdimacs									TIMEOUT (ERROR (1))	901.209475837	903.1878789137118	1737.994240	TIMEOUT (ERROR (1))	901.224018026	901.2788257561624	1603.600384	TIMEOUT (ERROR (1))	901.199855463	901.27108658012	1848.004608	TIMEOUT (ERROR (1))	901.251598351	901.2794576669112	1732.513792	TIMEOUT (ERROR (1))	901.229331295	901.2733715130016	1975.603200	TIMEOUT	901.037227594	901.0547210872173	737.320960
ere-ToiletA/toilet_a_08_01.12.sdimacs									TIMEOUT (ERROR (1))	901.201913986	902.4079877086915	1356.029952	TIMEOUT (ERROR (1))	901.219345591	901.2632105867378	1557.839872	TIMEOUT (ERROR (1))	901.135013958	901.2280600857921	1701.236736	TIMEOUT (ERROR (1))	901.129212617	901.2089094733819	1449.766912	TIMEOUT (ERROR (1))	901.190555696	901.2618429251015	1644.752896	TIMEOUT	901.052473275	901.0705569908023	981.192704
ere-ToiletA/toilet_a_08_01.13.sdimacs									TIMEOUT (ERROR (1))	900.547121541	901.2091319258325	1430.753280	TIMEOUT (ERROR (1))	901.164659016	901.2461920226924	1612.066816	TIMEOUT (ERROR (1))	901.194116301	901.2272153277881	1533.599744	TIMEOUT (ERROR (1))	901.1686254	901.1946601876989	1348.206592	TIMEOUT (ERROR (1))	901.185672897	901.2357921679504	1603.112960	TIMEOUT	901.043405493	901.0887555060908	1220.947968
ere-ToiletA/toilet_a_08_01.14.sdimacs									TIMEOUT (ERROR (1))	900.554433436	901.2094156048261	1457.786880	TIMEOUT (ERROR (1))	901.246453338	901.2660846211948	1718.599680	TIMEOUT (ERROR (1))	901.200325204	901.2594981188886	1490.178048	TIMEOUT (ERROR (1))	901.197127743	901.2280552266166	1388.859392	TIMEOUT (ERROR (1))	901.197409736	901.2314826133661	1575.292928	TIMEOUT	901.100770741	901.1150552351028	1529.233408
ere-ToiletA/toilet_a_08_01.15.sdimacs									TIMEOUT (ERROR (1))	900.253451248	901.2391694183461	1370.460160	TIMEOUT (ERROR (1))	901.171974941	901.225036655087	1670.434816	TIMEOUT (ERROR (1))	901.165347264	901.196733858902	1424.908288	TIMEOUT (ERROR (1))	901.184952893	901.2086756518111	1459.093504	TIMEOUT (ERROR (1))	901.18678341	901.2698122002184	1659.387904	TIMEOUT	901.088050081	901.1448615854606	1791.139840
ere-ToiletA/toilet_a_08_01.16.sdimacs									done	120.216262911	120.39298049593344	264.048640	TIMEOUT (ERROR (1))	901.24112214	901.2992460192181	1341.112320	done	98.312720368	98.31894010817632	264.884224	TIMEOUT (ERROR (1))	901.090805282	901.1492997892201	989.310976	TIMEOUT (ERROR (1))	901.231077828	901.2704055299982	1693.728768	TIMEOUT	901.127897899	901.1479546604678	2041.438208
ere-ToiletA/toilet_a_08_01.2.sdimacs									done	0.671249261	0.6816590800881386	23.494656	done	0.413711798	0.41533378418534994	23.748608	done	0.623171787	0.6282096267677844	24.313856	done	0.806470893	0.8091052360832691	26.894336	done	1.001928035	1.0041030370630324	27.025408	done	0.71270244	0.71380265802145	21.221376
ere-ToiletA/toilet_a_08_01.3.sdimacs									done	2.393010062	2.397041647695005	30.949376	done	1.402907367	1.40531345596537	32.526336	done	1.764818903	1.7670876462943852	31.670272	done	2.44197931	2.4440605798736215	38.019072	done	2.817538357	2.822446018923074	38.305792	done	1.36730973	1.3685387186706066	22.401024
ere-ToiletA/toilet_a_08_01.4.sdimacs									done	7.646495142	7.6603525979444385	63.270912	done	6.513347147	6.517258856911212	64.770048	done	7.275007525	7.276549676433206	64.057344	done	15.813891323	15.816030879504979	123.633664	done	19.069706228	19.07225047191605	129.773568	done	6.141396976	6.14277268294245	24.498176
ere-ToiletA/toilet_a_08_01.5.sdimacs									done	36.840849958	36.92231133533642	184.164352	done	25.90017513	25.90268090274185	176.558080	done	25.994426277	25.996980532072484	184.913920	done	50.692135035	50.695701994001865	320.376832	done	59.957414789	59.963867434766144	323.366912	done	15.721717398	15.727060711942613	27.660288
ere-ToiletA/toilet_a_08_01.6.sdimacs									done	133.65882516	133.78198472317308	517.423104	done	125.072048026	125.0963021479547	519.589888	done	128.699197629	128.7049670550041	518.291456	done	288.472295971	288.4787381850183	1118.572544	done	391.793381579	391.81911222822964	1224.585216	done	56.436426817	56.438453926704824	40.751104
