tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-MaxCount/QIF-pwd-backdoor.sdimacs	TIMEOUT (ERROR (1))	901.012730498	902.1012728589121	117.522432	done	2.569181539	2.57569916266948	46.624768
ere-MaxCount/QIF-reverse.sdimacs	TIMEOUT (ERROR (1))	900.993736937	901.0078586419113	66.052096	done	4.014330383	4.026024668011814	46.374912
ere-MaxCount/QIF-reverse2.sdimacs	TIMEOUT (ERROR (1))	900.810756257	901.0067876968533	48.427008	done	4.00154481	4.019553537014872	46.374912
ere-MaxCount/SyGuS-ActivityService.sdimacs	TIMEOUT (ERROR (1))	901.009059551	901.0229647560045	301.387776	TIMEOUT (ERROR (1))	900.989556338	901.0039076181129	77.697024
ere-MaxCount/SyGuS-ActivityService2.sdimacs	TIMEOUT (ERROR (1))	901.013029253	901.024394616019	301.359104	TIMEOUT (ERROR (1))	900.970960516	901.0040408819914	77.725696
ere-MaxCount/SyGuS-ConcreteActivityService.sdimacs	TIMEOUT (ABORTED)	901.014390086	901.219160990091	425.504768	TIMEOUT (ERROR (1))	900.877178316	901.0039631309919	55.140352
ere-MaxCount/SyGuS-GuidanceService.sdimacs	TIMEOUT (ERROR (1))	900.952053505	901.0223058371339	248.934400	TIMEOUT (ERROR (1))	900.939907604	901.0029868599959	53.420032
ere-MaxCount/SyGuS-GuidanceService2.sdimacs	TIMEOUT (ERROR (1))	900.940779632	901.0213135180529	248.930304	TIMEOUT (ERROR (1))	900.920726778	901.0035057230853	53.465088
ere-MaxCount/SyGuS-IssueServiceImpl.sdimacs	TIMEOUT (ABORTED)	901.016893213	901.2212542800698	277.090304	TIMEOUT (ERROR (1))	900.861171763	901.005370310042	53.358592
ere-MaxCount/SyGuS-IterationService.sdimacs	TIMEOUT (ERROR (1))	901.013519499	901.0257094600238	301.359104	TIMEOUT (ERROR (1))	900.986774973	901.0035978481174	77.697024
ere-MaxCount/SyGuS-LoginService.sdimacs	TIMEOUT (ERROR (1))	901.005857404	901.0271504840348	291.581952	TIMEOUT (ERROR (1))	900.934793013	901.0053943656385	55.668736
ere-MaxCount/SyGuS-LoginService2.sdimacs	TIMEOUT (ABORTED)	901.009955549	901.3186454130337	280.743936	TIMEOUT (ERROR (1))	900.985751166	901.0048589608632	60.805120
ere-MaxCount/SyGuS-NotificationServiceImpl2.sdimacs	TIMEOUT (ABORTED)	901.015065726	901.2189756699372	411.308032	TIMEOUT (ERROR (1))	900.99083618	901.0111052012071	66.543616
ere-MaxCount/SyGuS-PhaseService.sdimacs	TIMEOUT (ERROR (1))	901.004058454	901.0247842520475	301.359104	TIMEOUT (ERROR (1))	900.989527119	901.0046533220448	77.778944
ere-MaxCount/SyGuS-ProcessBean.sdimacs	TIMEOUT (ABORTED)	901.043645232	901.2524030960631	760.442880	TIMEOUT (ERROR (1))	901.003639288	901.0056227832101	313.868288
ere-MaxCount/SyGuS-ProjectService3.sdimacs	TIMEOUT (ERROR (1))	901.027302553	901.051106791012	740.028416	TIMEOUT (ERROR (1))	900.998985105	901.0046438118443	315.408384
ere-MaxCount/SyGuS-UserServiceImpl.sdimacs	TIMEOUT (ERROR (1))	901.011388048	901.0223327339627	238.903296	TIMEOUT (ERROR (1))	900.971522881	901.0047752317041	53.784576
ere-MaxCount/SyGuS-sign.sdimacs	TIMEOUT (ABORTED)	901.00012647	901.2095581768081	98.668544	done	0.194516041	0.1979599529877305	46.366720
ere-MaxCount/SyGuS-sign_correct.sdimacs	TIMEOUT (ERROR (1))	900.997019663	901.0091662621126	86.216704	done	0.183836983	0.18744824407622218	46.284800
ere-MPEC/c1355-er.sdimacs	TIMEOUT (ERROR (1))	901.126731019	901.1494150131475	1281.486848	done	0.166801485	0.16933895274996758	46.829568
ere-MPEC/c1908-er.sdimacs	TIMEOUT (ERROR (1))	901.093059014	901.1262907250784	1077.948416	ABORTED	34.317575227	34.59654430579394	46.919680
ere-MPEC/c3540-er.sdimacs	done	8.976017193	8.978448574896902	54.525952	ABORTED	34.876631483	35.15790272410959	46.821376
ere-MPEC/c432-er.sdimacs	TIMEOUT (ERROR (1))	900.973771425	901.0832634489052	684.802048	TIMEOUT (ERROR (1))	900.995838288	904.2459549228661	50.761728
ere-MPEC/c499-er.sdimacs	done	0.053890863	0.05486687598749995	15.736832	done	0.182508519	0.18434863490983844	46.223360
ere-MPEC/c5315-er.sdimacs	TIMEOUT (ERROR (1))	901.016961065	901.0382952359505	324.993024	done	0.125694476	0.1280537312850356	46.596096
ere-MPEC/c7552-er.sdimacs	TIMEOUT (ERROR (1))	900.997806787	901.0104412010405	86.589440	done	0.098981569	0.10117635177448392	46.460928
ere-MPEC/c880-er.sdimacs	TIMEOUT (ERROR (1))	901.119774371	901.1534158738796	1250.398208	done	0.090491057	0.09244482684880495	46.190592
ere-sand-castle/SC-1.sdimacs	done	0.04455754	0.04626389895565808	14.045184	done	0.070167488	0.07212193123996258	45.793280
ere-sand-castle/SC-10.sdimacs	done	7.738575088	7.740485459100455	43.786240	done	88.550574532	88.86165962228552	46.706688
ere-sand-castle/SC-11.sdimacs	done	31.834753745	31.837779405061156	103.968768	done	193.598204799	194.09011359000579	46.784512
ere-sand-castle/SC-12.sdimacs	done	134.4643326	134.47124406602234	171.155456	done	417.465081235	418.48447216069326	47.042560
ere-sand-castle/SC-13.sdimacs	done	521.601863574	521.6187884111423	316.166144	done	861.242408047	864.7690483760089	47.755264
ere-sand-castle/SC-14.sdimacs	TIMEOUT (ERROR (1))	901.011460315	901.0474706289824	382.910464	TIMEOUT (ERROR (1))	900.98933087	903.7432989771478	48.545792
ere-sand-castle/SC-15.sdimacs	TIMEOUT (ERROR (1))	901.01559992	901.0429344929289	336.510976	TIMEOUT (ERROR (1))	900.999851617	903.8473587138578	48.549888
ere-sand-castle/SC-16.sdimacs	TIMEOUT (ERROR (1))	901.007818988	901.032239559805	264.421376	TIMEOUT (ERROR (1))	900.987442182	904.5253766188398	48.750592
ere-sand-castle/SC-17.sdimacs	TIMEOUT (ERROR (1))	900.922432418	901.0246891200077	206.581760	TIMEOUT (ERROR (1))	900.970199326	905.6183615368791	48.635904
ere-sand-castle/SC-18.sdimacs	TIMEOUT (ERROR (1))	900.995695627	901.0277249368373	239.570944	TIMEOUT (ERROR (1))	900.974446888	906.9683639956638	48.795648
ere-sand-castle/SC-19.sdimacs	TIMEOUT (ERROR (1))	900.985045949	901.0165401611011	146.919424	TIMEOUT (ERROR (1))	900.987576115	906.0053169443272	48.910336
ere-sand-castle/SC-2.sdimacs	done	0.047734505	0.04938628594391048	14.577664	done	0.249620929	0.2539462470449507	46.112768
ere-sand-castle/SC-20.sdimacs	TIMEOUT (ERROR (1))	900.99213827	901.0257288538851	210.853888	TIMEOUT (ERROR (1))	900.982424594	906.5797810470685	49.061888
ere-sand-castle/SC-21.sdimacs	TIMEOUT (ERROR (1))	901.003936876	901.0234906941187	203.845632	TIMEOUT (ERROR (1))	900.989559471	905.4368609422818	49.143808
ere-sand-castle/SC-22.sdimacs	TIMEOUT (ERROR (1))	901.006711942	901.0252503820229	199.532544	TIMEOUT (ERROR (1))	900.961242471	906.8261131211184	49.147904
ere-sand-castle/SC-23.sdimacs	TIMEOUT (ERROR (1))	900.994602804	901.0234094080515	189.554688	TIMEOUT (ERROR (1))	900.979575273	905.9072070429102	49.315840
ere-sand-castle/SC-24.sdimacs	TIMEOUT (ERROR (1))	900.996603559	901.0128337871283	103.686144	TIMEOUT (ERROR (1))	900.987833536	905.1558439042419	49.537024
