   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/erssat-full.xml
name:                    erssat-full
run sets:                default-BDD.ExistRandomExist, bare-BDD.ExistRandomExist, greedy-BDD.ExistRandomExist, subsume-BDD.ExistRandomExist, partial-BDD.ExistRandomExist, default-Cachet.ExistRandomExist, bare-Cachet.ExistRandomExist, greedy-Cachet.ExistRandomExist, subsume-Cachet.ExistRandomExist, partial-Cachet.ExistRandomExist
date:                    Thu, 2021-01-28 20:52:15 CST
tool:                    ABC
tool executable:         bin/abc
options:                 
parallel runs:           12
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-0A
os:                      Linux-5.4.0-26-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-2630 0 @ 2.30GHz
- cores:                 24
- max frequency:         2800.0 MHz
- turbo boost enabled:   False
ram:                     219679.203328 MB
------------------------------------------------------------



default-BDD.ExistRandomExist
Run set 1 of 10 with options '-c ssat -vt' and propertyfile 'None'

inputfile                                              status                       cpu time   wall time        host
ere-MaxCount/SyGuS-sign_correct.sdimacs                TIMEOUT (ERROR (1))            900.94      901.02        None
ere-MPEC/c1355-er.sdimacs                              TIMEOUT (ERROR (1))            901.13      901.17        None
ere-MPEC/c1908-er.sdimacs                              TIMEOUT (ERROR (1))            901.10      901.15        None
ere-MPEC/c3540-er.sdimacs                              done                             9.25        9.26        None
ere-MPEC/c432-er.sdimacs                               TIMEOUT (ERROR (1))            901.04      901.10        None
ere-MPEC/c499-er.sdimacs                               done                             0.07        0.08        None
ere-MPEC/c5315-er.sdimacs                              TIMEOUT (ERROR (1))            901.01      901.04        None
ere-MPEC/c7552-er.sdimacs                              TIMEOUT (ERROR (1))            900.99      901.01        None
ere-MPEC/c880-er.sdimacs                               TIMEOUT (ERROR (1))            901.12      901.16        None
ere-sand-castle/SC-1.sdimacs                           done                             0.06        0.06        None
ere-sand-castle/SC-10.sdimacs                          done                            10.71       10.72        None
ere-sand-castle/SC-11.sdimacs                          done                            43.24       43.25        None
ere-sand-castle/SC-12.sdimacs                          done                           172.83      172.83        None
ere-sand-castle/SC-13.sdimacs                          done                           723.96      724.03        None
ere-sand-castle/SC-14.sdimacs                          TIMEOUT (ERROR (1))            900.99      901.04        None
ere-sand-castle/SC-15.sdimacs                          TIMEOUT (ERROR (1))            901.01      901.04        None
ere-sand-castle/SC-16.sdimacs                          TIMEOUT (ERROR (1))            901.00      901.03        None
ere-sand-castle/SC-17.sdimacs                          TIMEOUT (ERROR (1))            900.96      901.02        None
ere-sand-castle/SC-18.sdimacs                          TIMEOUT (ERROR (1))            900.98      901.03        None
ere-sand-castle/SC-19.sdimacs                          TIMEOUT (ERROR (1))            901.00      901.02        None
ere-sand-castle/SC-2.sdimacs                           done                             0.06        0.06        None
ere-sand-castle/SC-20.sdimacs                          TIMEOUT (ERROR (1))            901.01      901.03        None
ere-sand-castle/SC-21.sdimacs                          TIMEOUT (ERROR (1))            900.98      901.04        None
ere-sand-castle/SC-22.sdimacs                          TIMEOUT (ERROR (1))            900.99      901.03        None
ere-sand-castle/SC-23.sdimacs                          TIMEOUT (ERROR (1))            901.00      901.03        None
ere-sand-castle/SC-24.sdimacs                          TIMEOUT (ERROR (1))            900.94      901.02        None
ere-sand-castle/SC-25.sdimacs                          TIMEOUT (ERROR (1))            900.99      901.02        None
ere-sand-castle/SC-3.sdimacs                           done                             0.06        0.06        None
ere-sand-castle/SC-4.sdimacs                           done                             0.07        0.07        None
ere-sand-castle/SC-5.sdimacs                           done                             0.08        0.08        None
ere-sand-castle/SC-6.sdimacs                           done                             0.14        0.14        None
ere-sand-castle/SC-7.sdimacs                           done                             0.26        0.26        None
ere-sand-castle/SC-8.sdimacs                           done                             0.64        0.64        None
ere-sand-castle/SC-9.sdimacs                           done                             1.92        1.92        None
ere-ToiletA/toilet_a_02_01.2.sdimacs                   done                             0.06        0.06        None
ere-ToiletA/toilet_a_02_01.3.sdimacs                   done                             0.06        0.07        None
ere-ToiletA/toilet_a_02_01.4.sdimacs                   done                             0.06        0.07        None
ere-ToiletA/toilet_a_02_05.2.sdimacs                   done                             0.06        0.06        None
ere-ToiletA/toilet_a_02_10.2.sdimacs                   done                             0.06        0.06        None
ere-ToiletA/toilet_a_04_01.2.sdimacs                   done                             0.07        0.07        None
ere-ToiletA/toilet_a_04_01.3.sdimacs                   done                             0.08        0.08        None
ere-ToiletA/toilet_a_04_01.4.sdimacs                   done                             0.19        0.19        None
ere-ToiletA/toilet_a_04_01.5.sdimacs                   done                             0.53        0.53        None
ere-ToiletA/toilet_a_04_01.6.sdimacs                   done                             1.75        1.75        None
ere-ToiletA/toilet_a_04_01.7.sdimacs                   done                             3.98        3.99        None
ere-ToiletA/toilet_a_04_01.8.sdimacs                   done                             2.04        2.04        None
ere-ToiletA/toilet_a_04_05.2.sdimacs                   done                             0.06        0.06        None
ere-ToiletA/toilet_a_04_10.2.sdimacs                   done                             0.20        0.20        None
ere-ToiletA/toilet_a_06_01.10.sdimacs                  TIMEOUT (ERROR (1))            901.14      901.18        None
ere-ToiletA/toilet_a_06_01.11.sdimacs                  TIMEOUT (ERROR (1))            901.09      901.16        None
ere-ToiletA/toilet_a_06_01.12.sdimacs                  done                            55.89       55.89        None
ere-ToiletA/toilet_a_06_01.2.sdimacs                   done                             0.11        0.11        None
