tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	bare-BDD.ExistRandomExist	bare-BDD.ExistRandomExist	bare-BDD.ExistRandomExist	bare-BDD.ExistRandomExist	bare-Cachet.ExistRandomExist	bare-Cachet.ExistRandomExist	bare-Cachet.ExistRandomExist	bare-Cachet.ExistRandomExist
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-conformant/blocks_enc_2_b3_ser--opt-9_.sdimacs	TIMEOUT (ERROR (1))	900.96814779	901.0938808259089	818.216960	TIMEOUT (ERROR (1))	900.999693077	904.2075843382627	79.810560
ere-conformant/blocks_enc_2_b4_ser--opt-26_.sdimacs	TIMEOUT (ERROR (1))	900.922673286	901.0210896278732	177.569792	TIMEOUT (ERROR (1))	900.582813414	901.0127101861872	143.908864
ere-conformant/cube_c11_par---13_.sdimacs	TIMEOUT (ERROR (1))	901.006832408	901.0202008208726	208.982016	TIMEOUT (ERROR (1))	900.959709751	901.0041216458194	71.163904
ere-conformant/cube_c11_par--opt-14_.sdimacs	TIMEOUT (ABORTED)	901.015632688	901.2138498979621	246.042624	TIMEOUT (ERROR (1))	900.958057339	901.0037305136211	70.176768
ere-conformant/cube_c11_ser--opt-42_.sdimacs	TIMEOUT (ERROR (1))	900.994567388	901.0170605201274	162.783232	TIMEOUT (ERROR (1))	900.97353283	901.0075645609759	76.513280
ere-conformant/cube_c3_ser--opt-6_.sdimacs	done	16.530048745	16.531604897929356	47.955968	done	213.097099378	213.61733010131866	48.648192
ere-conformant/cube_c5_ser---14_.sdimacs	TIMEOUT (ERROR (1))	900.997863198	901.020965004107	141.443072	done	777.529837364	778.63422355894	59.641856
ere-conformant/cube_c5_ser--opt-15_.sdimacs	TIMEOUT (ERROR (1))	900.99615068	901.0197745778132	132.026368	TIMEOUT (ERROR (1))	901.009269046	902.1890504769981	63.291392
ere-conformant/cube_c7_ser---23_.sdimacs	TIMEOUT (ERROR (1))	900.998381808	901.0109226990025	90.947584	TIMEOUT (ERROR (1))	900.818744885	901.0044110231102	57.909248
ere-conformant/cube_c7_ser--opt-24_.sdimacs	TIMEOUT (ERROR (1))	900.998724784	901.0102027740795	90.554368	TIMEOUT (ERROR (1))	900.805282379	901.0047212452628	58.216448
ere-conformant/cube_c9_par---10_.sdimacs	TIMEOUT (ERROR (1))	901.001112749	901.0143465648871	125.390848	TIMEOUT (ERROR (1))	900.903395593	901.0037769661285	57.434112
ere-conformant/cube_c9_par--opt-11_.sdimacs	TIMEOUT (ERROR (1))	901.000439053	901.0117851709947	112.353280	TIMEOUT (ERROR (1))	900.908955392	901.0042039528489	57.552896
ere-conformant/emptyroom_e3_par--opt-10_.sdimacs	TIMEOUT (ERROR (1))	901.007797269	901.0432139202021	355.414016	TIMEOUT (ERROR (1))	900.998959536	903.0637583481148	53.272576
ere-conformant/emptyroom_e3_ser---19_.sdimacs	TIMEOUT (ERROR (1))	900.991214695	901.0197061249055	170.663936	TIMEOUT (ERROR (1))	901.003074433	902.3206086512655	59.326464
ere-conformant/emptyroom_e3_ser--opt-20_.sdimacs	TIMEOUT (ERROR (1))	900.995113185	901.0165672439616	142.958592	TIMEOUT (ERROR (1))	901.005069407	902.1650318601169	61.526016
ere-conformant/emptyroom_e4_par---21_.sdimacs	TIMEOUT (ERROR (1))	901.000590526	901.0130063539837	115.695616	TIMEOUT (ERROR (1))	900.79389178	901.0042746607214	56.258560
ere-conformant/emptyroom_e4_par--opt-22_.sdimacs	TIMEOUT (ERROR (1))	900.915294679	901.0171578940935	175.022080	TIMEOUT (ERROR (1))	900.800449513	901.0042365998961	56.057856
ere-conformant/emptyroom_e4_ser--opt-44_.sdimacs	TIMEOUT (ERROR (1))	900.90780429	901.0203724689782	239.276032	TIMEOUT (ERROR (1))	900.740097201	901.0074650528841	66.834432
ere-conformant/ring_r3_ser--opt-8_.sdimacs	TIMEOUT (ERROR (1))	901.063537074	901.085823707981	816.066560	TIMEOUT (ERROR (1))	901.006112999	902.631526933983	54.501376
ere-conformant/ring_r4_ser--opt-11_.sdimacs	TIMEOUT (ERROR (1))	901.017999253	901.0506499330513	546.988032	TIMEOUT (ERROR (1))	900.735656949	901.003616283182	51.838976
ere-conformant/ring_r6_ser---16_.sdimacs	SEGMENTATION FAULT	0.780063563	0.9678034170065075	134.004736	TIMEOUT (ERROR (1))	900.97449726	901.0036313310266	97.304576
