   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dissertation/approxmc-pec.xml
name:                    approxmc-pec
run sets:                default, tight
date:                    Fri, 2021-04-23 15:32:34 CST
tool:                    ApproxMC
tool executable:         /usr/local/bin/approxmc
options:
parallel runs:           8
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-PowerEdge-T440
os:                      Linux-5.4.0-58-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon Silver 4210 CPU @ 2.20GHz
- cores:                 40
- max frequency:         3200.0 MHz
- turbo boost enabled:   False
ram:                     134616.424448 MB
------------------------------------------------------------



default
Run set 1 of 2 with options '--epsilon 0.8 --delta 0.2' and propertyfile 'None'

inputfile                    status                       cpu time   wall time        host
sqrt-0.125-0.10.pec          TIMEOUT                        901.01      901.04        None
square-0.125-0.10.pec        TIMEOUT                        901.02      901.03        None
voter-0.125-0.10.pec         TIMEOUT                        901.03      901.04        None
adder-0.125-0.01.pec         done                           669.68      669.75        None
arbiter-0.125-0.01.pec       TIMEOUT                        901.03      901.07        None
bar-0.125-0.01.pec           done                           583.60      583.62        None
c1355-0.125-0.01.pec         done                            29.54       29.54        None
c1908-0.125-0.01.pec         done                            13.48       13.48        None
c2670-0.125-0.01.pec         done                           474.74      474.80        None
c3540-0.125-0.01.pec         done                            43.87       43.87        None
c432-0.125-0.01.pec          done                            11.66       11.66        None
c499-0.125-0.01.pec          done                            19.82       19.82        None
c5315-0.125-0.01.pec         done                           451.96      452.02        None
c6288-0.125-0.01.pec         done                            69.32       69.32        None
c7552-0.125-0.01.pec         done                           654.42      654.49        None
c880-0.125-0.01.pec          done                            31.66       31.66        None
cavlc-0.125-0.01.pec         done                            17.60       17.61        None
ctrl-0.125-0.01.pec          done                             1.05        1.05        None
dec-0.125-0.01.pec           done                             6.03        6.03        None
div-0.125-0.01.pec           TIMEOUT                        901.02      901.05        None
hyp-0.125-0.01.pec           TIMEOUT                        901.00      901.03        None
i2c-0.125-0.01.pec           done                           311.88      311.89        None
int2float-0.125-0.01.pec     done                             1.04        1.04        None
log2-0.125-0.01.pec          TIMEOUT                        901.04      901.06        None
max-0.125-0.01.pec           TIMEOUT                        901.04      901.06        None
mem_ctrl-0.125-0.01.pec      TIMEOUT                        901.10      901.13        None
multiplier-0.125-0.01.pec    TIMEOUT                        901.04      901.08        None
priority-0.125-0.01.pec      done                           170.12      170.15        None
router-0.125-0.01.pec        done                            36.86       36.87        None
sin-0.125-0.01.pec           done                           490.12      490.18        None
sqrt-0.125-0.01.pec          TIMEOUT                        901.01      901.10        None
square-0.125-0.01.pec        TIMEOUT                        901.01      901.07        None
voter-0.125-0.01.pec         TIMEOUT                        901.05      901.08        None
------------------------------------------------------------------------------------------
Run set 2                    done                         32784.61     4590.77           -

Statistics:            120 Files
  correct:               0
    correct true:        0
    correct false:       0
  incorrect:             0
    incorrect true:      0
    incorrect false:     0
  unknown:              47
