tool	DC-SSAT 	DC-SSAT 	DC-SSAT 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	dcssat-er.default.Application	dcssat-er.default.Application	dcssat-er.default.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application
test-cases/benchmarks/	status	cputime (s)	sat. prob.	status	cputime (s)	sat. prob.	LB	T-LB	status	cputime (s)	sat. prob.	LB	T-LB
ere-MaxCount/QIF-backdoor-2x16-8.sdimacs	done	0.011646521	0.0000152588	TIMEOUT (ERROR (1))	900.993615114		0.00000005960464	0.16	TIMEOUT (ERROR (1))	901.011566483		0.00000005960464	0.15
ere-MaxCount/QIF-backdoor-32-24.sdimacs	done	0.009598037	1	done	0.054105177	1.000000			done	0.05216017	1.000000		
ere-MaxCount/QIF-bin-search-16.sdimacs	TIMEOUT	900.969402354		TIMEOUT (ERROR (1))	901.003967299		0.001953125	113.67	TIMEOUT (ERROR (1))	900.999444324		0.0001220703	141.96
ere-MaxCount/QIF-pwd-backdoor.sdimacs	OUT OF MEMORY	744.859453965		TIMEOUT (ERROR (1))	900.931920105		0.000000	0.00	TIMEOUT (ERROR (1))	901.121441054		0.000000	0.00
ere-MaxCount/QIF-reverse.sdimacs	OUT OF MEMORY	362.664935352		TIMEOUT (ERROR (1))	900.998077632		0.0000005960464	546.68	TIMEOUT (ERROR (1))	900.984750357		0.0000009536743	432.36
ere-MaxCount/QIF-reverse2.sdimacs	OUT OF MEMORY	397.300167046		TIMEOUT (ERROR (1))	900.933921518		0.0000002980232	200.88	TIMEOUT (ERROR (1))	900.898215619		0.0000009536743	542.40
ere-MaxCount/SyGuS-ActivityService.sdimacs	TIMEOUT	901.528421309		TIMEOUT (ERROR (1))	901.009782026		0.000000	0.00	TIMEOUT (ERROR (1))	901.012881961		0.000000	0.00
ere-MaxCount/SyGuS-ActivityService2.sdimacs	TIMEOUT	901.544041061		TIMEOUT (ERROR (1))	900.995995973		0.000000	0.00	TIMEOUT (ERROR (1))	901.009870874		0.000000	0.00
ere-MaxCount/SyGuS-ConcreteActivityService.sdimacs	TIMEOUT	901.68081805		TIMEOUT (ABORTED)	901.020689789				TIMEOUT (ABORTED)	900.949975948			
ere-MaxCount/SyGuS-GuidanceService.sdimacs	TIMEOUT	901.593344857		TIMEOUT (ERROR (1))	901.005385433		0.000000	0.00	TIMEOUT (ERROR (1))	901.016496421		0.000000	0.00
