tool	DC-SSAT 	ABC 	ABC 
ere-MaxCount/SyGuS-UserServiceImpl.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MaxCount/SyGuS-sign.sdimacs	OUT OF MEMORY	TIMEOUT (ABORTED)	TIMEOUT (ERROR (1))
ere-MaxCount/SyGuS-sign_correct.sdimacs	OUT OF MEMORY	TIMEOUT (ABORTED)	TIMEOUT (ABORTED)
ere-MPEC/c1355-er.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MPEC/c1908-er.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MPEC/c3540-er.sdimacs	done	TIMEOUT (ERROR (1))	done
ere-MPEC/c432-er.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MPEC/c499-er.sdimacs	done	done	done
ere-MPEC/c5315-er.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MPEC/c7552-er.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MPEC/c880-er.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-sand-castle/SC-1.sdimacs	done	done	done
ere-sand-castle/SC-10.sdimacs	done	done	done
ere-sand-castle/SC-11.sdimacs	done	done	done
ere-sand-castle/SC-12.sdimacs	done	done	done
ere-sand-castle/SC-13.sdimacs	done	done	done
ere-sand-castle/SC-14.sdimacs	done	done	TIMEOUT (ERROR (1))
ere-sand-castle/SC-15.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-sand-castle/SC-16.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-sand-castle/SC-17.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-sand-castle/SC-18.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-sand-castle/SC-19.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-sand-castle/SC-2.sdimacs	done	done	done
ere-sand-castle/SC-20.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-sand-castle/SC-21.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-sand-castle/SC-22.sdimacs	OUT OF MEMORY	TIMEOUT (ABORTED)	TIMEOUT (ERROR (1))
ere-sand-castle/SC-23.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-sand-castle/SC-24.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-sand-castle/SC-25.sdimacs	OUT OF MEMORY	TIMEOUT (ABORTED)	TIMEOUT (ERROR (1))
ere-sand-castle/SC-3.sdimacs	done	done	done
ere-sand-castle/SC-4.sdimacs	done	done	done
ere-sand-castle/SC-5.sdimacs	done	done	done
ere-sand-castle/SC-6.sdimacs	done	done	done
ere-sand-castle/SC-7.sdimacs	done	done	done
ere-sand-castle/SC-8.sdimacs	done	done	done
ere-sand-castle/SC-9.sdimacs	done	done	done
ere-ToiletA/toilet_a_02_01.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_02_01.3.sdimacs	done	done	done
ere-ToiletA/toilet_a_02_01.4.sdimacs	done	done	done
ere-ToiletA/toilet_a_02_05.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_02_10.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_04_01.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_04_01.3.sdimacs	done	done	done
ere-ToiletA/toilet_a_04_01.4.sdimacs	done	done	done
ere-ToiletA/toilet_a_04_01.5.sdimacs	done	done	done
ere-ToiletA/toilet_a_04_01.6.sdimacs	done	done	done
ere-ToiletA/toilet_a_04_01.7.sdimacs	done	done	done
ere-ToiletA/toilet_a_04_01.8.sdimacs	done	done	done
ere-ToiletA/toilet_a_04_05.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_04_10.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_01.10.sdimacs	done	TIMEOUT (ERROR (1))	done
ere-ToiletA/toilet_a_06_01.11.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_06_01.12.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_01.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_01.3.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_01.4.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_01.5.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_01.6.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_01.7.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_01.8.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_01.9.sdimacs	done	TIMEOUT (ERROR (1))	done
ere-ToiletA/toilet_a_06_05.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_05.3.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_06_05.4.sdimacs	done	done	done
ere-ToiletA/toilet_a_06_10.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_08_01.10.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_01.11.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_01.12.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_01.13.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_01.14.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_01.15.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_01.16.sdimacs	TIMEOUT	done	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_01.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_08_01.3.sdimacs	done	done	done
ere-ToiletA/toilet_a_08_01.4.sdimacs	done	done	done
ere-ToiletA/toilet_a_08_01.5.sdimacs	done	done	done
ere-ToiletA/toilet_a_08_01.6.sdimacs	done	done	done
ere-ToiletA/toilet_a_08_01.7.sdimacs	done	done	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_01.8.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_01.9.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_05.10.sdimacs	TIMEOUT	done	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_05.2.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_05.3.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_05.4.sdimacs	TIMEOUT	done	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_05.5.sdimacs	TIMEOUT	done	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_05.6.sdimacs	TIMEOUT	done	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_05.7.sdimacs	TIMEOUT	done	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_05.8.sdimacs	TIMEOUT	done	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_05.9.sdimacs	TIMEOUT	done	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_08_10.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_10_01.10.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.11.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.12.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.13.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.14.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.15.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.16.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.17.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
