tool	ABC 	DC-SSAT 
run set	erssat.default-BDD.Application	dcssat-er.default.Application
test-cases/benchmarks/	cputime (s)	cputime (s)
ere-ToiletA/toilet_a_02_01.3.sdimacs	0.049503793	0.007339511
ere-ToiletA/toilet_a_02_01.4.sdimacs	0.050803057	0.008365992
ere-ToiletA/toilet_a_02_05.2.sdimacs	0.046580334	0.008359327
ere-ToiletA/toilet_a_02_10.2.sdimacs	0.04532478	0.010141908
ere-ToiletA/toilet_a_04_01.2.sdimacs	0.047880849	0.008452005
ere-ToiletA/toilet_a_04_01.3.sdimacs	0.060682933	0.007708597
ere-ToiletA/toilet_a_04_01.4.sdimacs	0.163201856	0.01377028
ere-ToiletA/toilet_a_04_01.5.sdimacs	0.397624237	0.018460995
ere-ToiletA/toilet_a_04_01.6.sdimacs	1.308187803	0.025471141
ere-ToiletA/toilet_a_04_01.7.sdimacs	3.505657264	0.047968718
ere-ToiletA/toilet_a_04_01.8.sdimacs	1.784513588	0.090420868
ere-ToiletA/toilet_a_04_05.2.sdimacs	0.044653352	0.011970783
ere-ToiletA/toilet_a_04_10.2.sdimacs	0.160310124	0.022200519
ere-ToiletA/toilet_a_06_01.10.sdimacs	496.331299692	26.496476927
ere-ToiletA/toilet_a_06_01.11.sdimacs	901.099492681	64.780350805
ere-ToiletA/toilet_a_06_01.12.sdimacs	46.892586401	152.860840296
ere-ToiletA/toilet_a_06_01.2.sdimacs	0.089515242	0.023333318
ere-ToiletA/toilet_a_06_01.3.sdimacs	0.202390189	0.038668878
ere-ToiletA/toilet_a_06_01.4.sdimacs	1.210497523	0.101588692
ere-ToiletA/toilet_a_06_01.5.sdimacs	4.846955309	0.227990728
ere-ToiletA/toilet_a_06_01.6.sdimacs	14.222242968	0.643217873
ere-ToiletA/toilet_a_06_01.7.sdimacs	54.464607555	1.600984739
ere-ToiletA/toilet_a_06_01.8.sdimacs	114.185051918	4.251646665
ere-ToiletA/toilet_a_06_01.9.sdimacs	864.799801094	10.487490675
ere-ToiletA/toilet_a_06_05.2.sdimacs	149.063149194	0.136587928
ere-ToiletA/toilet_a_06_05.3.sdimacs	901.113645986	2.446378375
ere-ToiletA/toilet_a_06_05.4.sdimacs	527.820756311	47.558043601
ere-ToiletA/toilet_a_06_10.2.sdimacs	0.073470698	0.358238985
ere-ToiletA/toilet_a_08_01.10.sdimacs	901.231720601	901.045801329
ere-ToiletA/toilet_a_08_01.11.sdimacs	901.135009863	901.025273029
ere-ToiletA/toilet_a_08_01.12.sdimacs	901.231597174	901.08293058
ere-ToiletA/toilet_a_08_01.13.sdimacs	901.184470308	901.100486414
ere-ToiletA/toilet_a_08_01.14.sdimacs	901.196583346	901.130822953
ere-ToiletA/toilet_a_08_01.15.sdimacs	901.179432438	901.161558579
ere-ToiletA/toilet_a_08_01.16.sdimacs	901.199435039	901.202938274
ere-ToiletA/toilet_a_08_01.2.sdimacs	0.662372506	0.480753379
ere-ToiletA/toilet_a_08_01.3.sdimacs	1.762454438	0.883962484
ere-ToiletA/toilet_a_08_01.4.sdimacs	11.694880344	3.94329716
ere-ToiletA/toilet_a_08_01.5.sdimacs	36.795156651	10.192353365
ere-ToiletA/toilet_a_08_01.6.sdimacs	231.645978393	34.939125386
ere-ToiletA/toilet_a_08_01.7.sdimacs	901.264840973	97.161917189
ere-ToiletA/toilet_a_08_01.8.sdimacs	901.267915919	297.245242829
ere-ToiletA/toilet_a_08_01.9.sdimacs	901.250414266	829.756448028
ere-ToiletA/toilet_a_08_05.10.sdimacs	901.278013463	901.015142235
ere-ToiletA/toilet_a_08_05.2.sdimacs	901.284253789	9.534066954
ere-ToiletA/toilet_a_08_05.3.sdimacs	901.256099733	171.69168095
ere-ToiletA/toilet_a_08_05.4.sdimacs	901.284394475	901.129469167
ere-ToiletA/toilet_a_08_05.5.sdimacs	901.267486203	901.147728116
ere-ToiletA/toilet_a_08_05.6.sdimacs	901.239673682	901.026036714
ere-ToiletA/toilet_a_08_05.7.sdimacs	901.167104653	901.035881999
ere-ToiletA/toilet_a_08_05.8.sdimacs	901.256622151	901.028683205
ere-ToiletA/toilet_a_08_05.9.sdimacs	901.242920496	901.024737657
ere-ToiletA/toilet_a_08_10.2.sdimacs	0.319318202	22.478194918
ere-ToiletA/toilet_a_10_01.10.sdimacs	901.230472168	900.952857282
