tool	ABC 	ABC 
run set	default-BDD.Application	bare-BDD.Application
test-cases/benchmarks/	cputime (s)	cputime (s)
ere-MPEC/ere-cavlc-0.125-0.10.sdimacs	901.016758454	900.948305324
ere-MPEC/ere-ctrl-0.125-0.01.sdimacs	0.07007052	0.089835152
ere-MPEC/ere-ctrl-0.125-0.10.sdimacs	901.002564049	900.995676974
ere-MPEC/ere-dec-0.125-0.01.sdimacs	0.042767239	0.045759341
ere-MPEC/ere-dec-0.125-0.10.sdimacs	901.007561295	901.00728453
ere-MPEC/ere-div-0.125-0.01.sdimacs	536.421855085	3.6069778
ere-MPEC/ere-div-0.125-0.10.sdimacs	901.060540944	1.346481552
ere-MPEC/ere-hyp-0.125-0.01.sdimacs	901.163967063	39.078156975
ere-MPEC/ere-hyp-0.125-0.10.sdimacs	901.220967602	10.208043836
ere-MPEC/ere-i2c-0.125-0.01.sdimacs	900.986166095	901.003529893
ere-MPEC/ere-i2c-0.125-0.10.sdimacs	900.990306331	900.91523719
ere-MPEC/ere-int2float-0.125-0.01.sdimacs	1.307777016	0.44489717
ere-MPEC/ere-int2float-0.125-0.10.sdimacs	900.994872515	901.003011952
ere-MPEC/ere-log2-0.125-0.01.sdimacs	278.483075837	1.118307498
ere-MPEC/ere-log2-0.125-0.10.sdimacs	395.951659332	0.95018912
ere-MPEC/ere-max-0.125-0.01.sdimacs	901.005810833	901.01440529
ere-MPEC/ere-max-0.125-0.10.sdimacs	901.011872597	901.018108133
ere-MPEC/ere-mem_ctrl-0.125-0.01.sdimacs	438.788764805	0.926681894
ere-MPEC/ere-mem_ctrl-0.125-0.10.sdimacs	900.977810759	1.294049225
ere-MPEC/ere-multiplier-0.125-0.01.sdimacs	131.055500778	0.851195233
ere-MPEC/ere-multiplier-0.125-0.10.sdimacs	232.301744426	1.122168769
ere-MPEC/ere-priority-0.125-0.01.sdimacs	900.999260658	900.987214108
ere-MPEC/ere-priority-0.125-0.10.sdimacs	900.939521156	901.002836527
ere-MPEC/ere-router-0.125-0.01.sdimacs	900.995691195	901.12492498
ere-MPEC/ere-router-0.125-0.10.sdimacs	901.009445141	901.006604127
ere-MPEC/ere-sin-0.125-0.01.sdimacs	901.027726125	900.933210195
ere-MPEC/ere-sin-0.125-0.10.sdimacs	901.007866937	901.028185346
ere-MPEC/ere-sqrt-0.125-0.01.sdimacs	119.537540741	1.011787449
ere-MPEC/ere-sqrt-0.125-0.10.sdimacs	183.2751845	1.068352958
ere-MPEC/ere-square-0.125-0.01.sdimacs	900.938462734	901.027975163
ere-MPEC/ere-square-0.125-0.10.sdimacs	114.125307601	0.842477133
ere-MPEC/ere-voter-0.125-0.01.sdimacs	901.012639827	901.059760742
ere-MPEC/ere-voter-0.125-0.10.sdimacs	900.964600522	900.968457315
ere-sand-castle/SC-1.sdimacs	0.042881787	0.043850325
ere-sand-castle/SC-10.sdimacs	7.298682296	3.867158516
ere-sand-castle/SC-11.sdimacs	28.68700569	12.976002849
ere-sand-castle/SC-12.sdimacs	119.738255462	58.233004055
ere-sand-castle/SC-13.sdimacs	468.065248353	162.627090716
ere-sand-castle/SC-14.sdimacs	901.031950053	447.633309966
ere-sand-castle/SC-15.sdimacs	901.025316009	901.009765094
ere-sand-castle/SC-16.sdimacs	901.000314535	905.206673659
ere-sand-castle/SC-17.sdimacs	901.001810772	900.774267646
ere-sand-castle/SC-18.sdimacs	901.000133401	900.454773049
ere-sand-castle/SC-19.sdimacs	900.893856413	900.523564693
ere-sand-castle/SC-2.sdimacs	0.046089791	0.045902884
ere-sand-castle/SC-20.sdimacs	900.988554324	900.965130561
ere-sand-castle/SC-21.sdimacs	900.91553356	900.988857566
ere-sand-castle/SC-22.sdimacs	901.000219269	900.875562805
ere-sand-castle/SC-23.sdimacs	900.998456291	900.877457499
ere-sand-castle/SC-24.sdimacs	900.984433443	900.514093188
ere-sand-castle/SC-25.sdimacs	901.000178181	900.915149538
ere-sand-castle/SC-3.sdimacs	0.051112906	0.048218861
ere-sand-castle/SC-4.sdimacs	0.052760139	0.049406076
ere-sand-castle/SC-5.sdimacs	0.068237561	0.061374257
ere-sand-castle/SC-6.sdimacs	0.107046037	0.079495989
ere-sand-castle/SC-7.sdimacs	0.216367068	0.136084327
ere-sand-castle/SC-8.sdimacs	0.56944314	0.328387991
ere-sand-castle/SC-9.sdimacs	1.68767575	0.873626924
ere-ToiletA/toilet_a_02_01.2.sdimacs	0.046140176	0.047856018
ere-ToiletA/toilet_a_02_01.3.sdimacs	0.046710954	0.049778355
ere-ToiletA/toilet_a_02_01.4.sdimacs	0.048307148	0.051402634
ere-ToiletA/toilet_a_02_05.2.sdimacs	0.046543665	0.044919233
ere-ToiletA/toilet_a_02_10.2.sdimacs	0.044590696	0.047600313
ere-ToiletA/toilet_a_04_01.2.sdimacs	0.049743664	0.052920123
ere-ToiletA/toilet_a_04_01.3.sdimacs	0.063949556	0.053370848
ere-ToiletA/toilet_a_04_01.4.sdimacs	0.160185914	0.095696497
ere-ToiletA/toilet_a_04_01.5.sdimacs	0.386291195	0.251394454
ere-ToiletA/toilet_a_04_01.6.sdimacs	1.245206585	0.871942632
ere-ToiletA/toilet_a_04_01.7.sdimacs	3.259385008	3.317579114
ere-ToiletA/toilet_a_04_01.8.sdimacs	1.649599954	1.07474743
ere-ToiletA/toilet_a_04_05.2.sdimacs	0.04570905	0.061247506
ere-ToiletA/toilet_a_04_10.2.sdimacs	0.15797519	0.049098803
ere-ToiletA/toilet_a_06_01.10.sdimacs	471.892761419	901.122828028
ere-ToiletA/toilet_a_06_01.11.sdimacs	901.027059279	901.015046244
ere-ToiletA/toilet_a_06_01.12.sdimacs	43.255772898	238.603358468
ere-ToiletA/toilet_a_06_01.2.sdimacs	0.090702779	0.067372182
ere-ToiletA/toilet_a_06_01.3.sdimacs	0.191482062	0.130809359
ere-ToiletA/toilet_a_06_01.4.sdimacs	1.129960629	0.504213631
ere-ToiletA/toilet_a_06_01.5.sdimacs	4.474104865	2.328823627
ere-ToiletA/toilet_a_06_01.6.sdimacs	13.356069187	6.176784228
ere-ToiletA/toilet_a_06_01.7.sdimacs	50.967562005	27.264865662
ere-ToiletA/toilet_a_06_01.8.sdimacs	106.600963386	137.151782594
